ssid_fast_orthogroups,Ssid_longest_proteome
OG0001801,"Ssid_262238_c0_seq1.p1, Ssid_262937_c0_seq2.p1"
OG0001802,"Ssid_212710_c0_seq2.p1, Ssid_212710_c0_seq2.p2"
OG0001803,Ssid_263764_c0_seq5.p3
OG0001804,Ssid_170945_c0_seq1.p1
OG0001805,"Ssid_254756_c0_seq1.p1, Ssid_254756_c0_seq1.p2"
OG0001806,"Ssid_245152_c0_seq2.p1, Ssid_245152_c0_seq2.p2, Ssid_245152_c0_seq2.p3"
OG0001807,"Ssid_216089_c0_seq1.p1, Ssid_218574_c0_seq3.p1, Ssid_84781_c0_seq1.p1"
OG0001808,Ssid_262559_c0_seq2.p1
OG0001809,"Ssid_247823_c0_seq1.p1, Ssid_256200_c0_seq5.p1, Ssid_258410_c0_seq3.p3"
OG0001810,"Ssid_260509_c0_seq8.p1, Ssid_260509_c0_seq8.p2"
OG0001811,
OG0001812,
OG0001813,
OG0001814,"Ssid_164969_c0_seq2.p2, Ssid_201504_c0_seq1.p1"
OG0001815,
OG0001816,
OG0001817,
OG0001818,
OG0001819,Ssid_256080_c0_seq2.p1
OG0001820,Ssid_237702_c0_seq2.p1
OG0001821,"Ssid_242434_c0_seq1.p1, Ssid_258370_c0_seq1.p1"
OG0001822,
OG0001823,Ssid_260775_c0_seq1.p1
OG0001824,
OG0001825,Ssid_238124_c0_seq2.p1
OG0001826,
OG0001827,Ssid_254663_c0_seq12.p1
OG0001828,
OG0001829,Ssid_127252_c0_seq1.p1
OG0001830,
OG0001831,Ssid_246029_c0_seq1.p1
OG0001832,Ssid_251343_c0_seq2.p1
OG0001833,"Ssid_196697_c0_seq1.p1, Ssid_245226_c0_seq1.p1"
OG0001834,Ssid_262850_c0_seq1.p1
OG0001835,Ssid_260843_c0_seq2.p1
OG0001836,Ssid_244640_c0_seq1.p1
OG0001837,
OG0001838,"Ssid_262191_c0_seq4.p1, Ssid_262191_c0_seq4.p2"
OG0001839,Ssid_227162_c0_seq1.p1
OG0001840,Ssid_257827_c0_seq2.p1
OG0001841,"Ssid_234773_c0_seq5.p1, Ssid_255337_c0_seq1.p1"
OG0001842,
OG0001843,Ssid_249368_c0_seq17.p2
OG0001844,
OG0001845,"Ssid_188415_c0_seq3.p1, Ssid_210006_c0_seq1.p1, Ssid_217820_c0_seq1.p1"
OG0001846,"Ssid_251268_c0_seq18.p1, Ssid_251936_c0_seq3.p1"
OG0001847,Ssid_260401_c0_seq1.p2
OG0001848,Ssid_192800_c0_seq1.p2
OG0001849,
OG0001850,"Ssid_249202_c0_seq1.p1, Ssid_249202_c1_seq1.p1"
OG0001851,"Ssid_182220_c0_seq1.p1, Ssid_257169_c0_seq2.p1"
OG0001852,Ssid_261791_c0_seq2.p1
OG0001853,Ssid_255049_c0_seq1.p1
OG0001854,
OG0001855,"Ssid_256506_c0_seq8.p1, Ssid_329106_c0_seq1.p1"
OG0001856,"Ssid_249756_c0_seq2.p1, Ssid_250993_c1_seq5.p1, Ssid_263757_c0_seq1.p1"
OG0001857,Ssid_260516_c0_seq1.p1
OG0001858,Ssid_252252_c0_seq1.p1
OG0001859,
OG0001860,Ssid_205447_c0_seq1.p1
OG0001861,"Ssid_259223_c1_seq6.p1, Ssid_259399_c0_seq21.p1"
OG0001862,Ssid_261655_c0_seq2.p1
OG0001863,Ssid_262953_c1_seq2.p1
OG0001864,Ssid_248425_c0_seq1.p1
OG0001865,"Ssid_239775_c0_seq4.p1, Ssid_239775_c0_seq4.p2"
OG0001866,"Ssid_246337_c0_seq3.p1, Ssid_260538_c1_seq3.p1"
OG0001867,"Ssid_254885_c0_seq27.p2, Ssid_259531_c2_seq58.p1"
OG0001868,Ssid_259440_c0_seq2.p1
OG0001869,Ssid_248559_c0_seq2.p1
OG0001870,"Ssid_223547_c0_seq3.p1, Ssid_328478_c0_seq1.p1"
OG0001871,"Ssid_233546_c0_seq1.p1, Ssid_262554_c0_seq1.p1"
OG0001872,"Ssid_247562_c0_seq1.p1, Ssid_252187_c0_seq1.p1, Ssid_261342_c0_seq1.p1"
OG0001873,
OG0001874,"Ssid_248642_c0_seq1.p1, Ssid_248642_c0_seq1.p2"
OG0001875,"Ssid_146806_c0_seq1.p1, Ssid_23585_c0_seq1.p1, Ssid_253060_c0_seq1.p1, Ssid_261053_c0_seq3.p1, Ssid_261053_c0_seq3.p2"
OG0001876,
OG0001877,Ssid_111093_c0_seq1.p1
OG0001878,
OG0001879,
OG0001880,
OG0001881,Ssid_412758_c0_seq1.p1
OG0001882,"Ssid_177009_c0_seq1.p1, Ssid_180045_c0_seq1.p1"
OG0001883,
OG0001884,Ssid_263803_c0_seq4.p2
OG0001885,"Ssid_213839_c0_seq1.p1, Ssid_254221_c0_seq36.p1, Ssid_254221_c0_seq36.p4"
OG0001886,"Ssid_263476_c0_seq5.p1, Ssid_465621_c0_seq1.p1"
OG0001887,Ssid_324171_c0_seq1.p1
OG0001888,Ssid_236440_c0_seq7.p2
OG0001889,"Ssid_248264_c0_seq1.p2, Ssid_263700_c0_seq1.p2"
OG0001890,Ssid_222532_c0_seq1.p1
OG0001891,Ssid_246768_c1_seq1.p1
OG0001892,Ssid_258389_c0_seq3.p1
OG0001893,"Ssid_260216_c0_seq30.p1, Ssid_260216_c0_seq30.p2"
OG0001894,
OG0001895,"Ssid_147936_c0_seq1.p1, Ssid_233422_c0_seq1.p2, Ssid_233954_c1_seq2.p2"
OG0001896,Ssid_262327_c0_seq1.p1
OG0001897,Ssid_249800_c2_seq1.p1
OG0001898,"Ssid_242211_c0_seq2.p1, Ssid_242211_c0_seq2.p2"
OG0001899,"Ssid_258256_c0_seq1.p1, Ssid_258256_c0_seq1.p2, Ssid_258256_c0_seq1.p4"
OG0001900,"Ssid_215312_c0_seq5.p1, Ssid_215312_c0_seq5.p2, Ssid_240782_c0_seq1.p1"
OG0001901,Ssid_216239_c0_seq1.p1
OG0001902,"Ssid_252862_c0_seq1.p1, Ssid_260867_c0_seq1.p1, Ssid_260867_c0_seq1.p2"
OG0001903,
OG0001904,Ssid_255775_c0_seq2.p1
OG0001905,"Ssid_154331_c0_seq1.p1, Ssid_260036_c0_seq99.p3"
OG0001906,
OG0001907,Ssid_230215_c0_seq1.p1
OG0001908,
OG0001909,Ssid_227050_c0_seq2.p1
OG0001910,Ssid_259301_c1_seq3.p1
OG0001911,
OG0001912,"Ssid_233138_c0_seq4.p1, Ssid_251379_c0_seq1.p1"
OG0001913,"Ssid_251695_c1_seq1.p1, Ssid_256575_c0_seq2.p1, Ssid_261088_c0_seq1.p1"
OG0001914,
OG0001915,Ssid_262718_c0_seq2.p1
OG0001916,Ssid_263549_c0_seq2.p1
OG0001917,Ssid_263213_c1_seq4.p1
OG0001918,
OG0001919,
OG0001920,"Ssid_16093_c0_seq1.p1, Ssid_252032_c0_seq1.p2"
OG0001921,"Ssid_250051_c0_seq1.p1, Ssid_251658_c0_seq1.p1"
OG0001922,
OG0001923,"Ssid_226392_c0_seq1.p1, Ssid_252718_c0_seq2.p1, Ssid_252760_c0_seq1.p1"
OG0001924,"Ssid_236232_c0_seq1.p1, Ssid_237832_c0_seq4.p1, Ssid_256605_c0_seq4.p2"
OG0001925,
OG0001926,"Ssid_247667_c0_seq1.p1, Ssid_251401_c0_seq1.p1"
OG0001927,"Ssid_226800_c0_seq2.p1, Ssid_232464_c0_seq1.p1"
OG0001928,"Ssid_240307_c0_seq1.p1, Ssid_261563_c0_seq5.p1"
OG0001929,"Ssid_237244_c0_seq1.p1, Ssid_262537_c0_seq3.p1"
OG0001930,Ssid_243603_c1_seq1.p1
OG0001931,
OG0001932,"Ssid_1077_c0_seq1.p1, Ssid_241262_c0_seq1.p1, Ssid_243461_c0_seq1.p1, Ssid_333425_c0_seq1.p1"
OG0001933,"Ssid_247136_c0_seq1.p1, Ssid_263641_c0_seq4.p2"
OG0001934,
OG0001935,Ssid_174760_c0_seq1.p1
OG0001936,"Ssid_179061_c0_seq2.p1, Ssid_249421_c1_seq1.p1, Ssid_323780_c0_seq1.p1"
OG0001937,"Ssid_250025_c0_seq1.p1, Ssid_252183_c0_seq3.p1"
OG0001938,
OG0001939,Ssid_129546_c0_seq2.p1
OG0001940,"Ssid_260725_c0_seq3.p1, Ssid_261856_c0_seq1.p2"
OG0001941,Ssid_259311_c0_seq1.p1
OG0001942,
OG0001943,
OG0001944,Ssid_247943_c0_seq1.p1
OG0001945,
OG0001946,
OG0001947,
OG0001948,Ssid_243919_c0_seq2.p1
OG0001949,Ssid_258021_c0_seq1.p1
OG0001950,"Ssid_248689_c0_seq1.p1, Ssid_248689_c0_seq1.p2"
OG0001951,"Ssid_106071_c0_seq1.p1, Ssid_129104_c0_seq1.p1, Ssid_149138_c0_seq1.p1, Ssid_229188_c0_seq1.p1, Ssid_237617_c0_seq3.p1, Ssid_239741_c0_seq1.p1, Ssid_258133_c0_seq2.p2"
OG0001952,Ssid_253406_c0_seq1.p1
OG0001953,
OG0001954,Ssid_262663_c0_seq1.p1
OG0001955,
OG0001956,"Ssid_237265_c0_seq1.p1, Ssid_255631_c0_seq2.p2"
OG0001957,
OG0001958,Ssid_258463_c0_seq1.p1
OG0001959,
OG0001960,Ssid_241785_c0_seq3.p1
OG0001961,Ssid_253385_c0_seq2.p1
OG0001962,"Ssid_251878_c1_seq2.p2, Ssid_256253_c0_seq6.p2, Ssid_263215_c0_seq1.p1, Ssid_84946_c0_seq1.p1"
OG0001963,
OG0001964,Ssid_193216_c0_seq1.p1
OG0001965,Ssid_243338_c0_seq4.p3
OG0001966,"Ssid_204945_c0_seq1.p1, Ssid_263138_c2_seq1.p1"
OG0001967,
OG0001968,Ssid_262444_c1_seq1.p2
OG0001969,"Ssid_151513_c0_seq1.p1, Ssid_226137_c0_seq1.p1, Ssid_238939_c0_seq1.p1"
OG0001970,"Ssid_116184_c0_seq1.p1, Ssid_215417_c0_seq1.p1"
OG0001971,
OG0001972,"Ssid_251807_c0_seq3.p1, Ssid_257400_c0_seq1.p1"
OG0001973,
OG0001974,Ssid_245473_c0_seq1.p2
OG0001975,"Ssid_223151_c0_seq1.p1, Ssid_232976_c0_seq1.p1"
OG0001976,Ssid_258950_c1_seq2.p1
OG0001977,Ssid_249644_c0_seq2.p1
OG0001978,"Ssid_250868_c0_seq2.p1, Ssid_250868_c0_seq2.p2"
OG0001979,Ssid_216425_c0_seq1.p1
OG0001980,"Ssid_251411_c1_seq1.p1, Ssid_254829_c0_seq1.p1"
OG0001981,"Ssid_236756_c0_seq1.p1, Ssid_252802_c0_seq1.p1, Ssid_258549_c0_seq1.p1"
OG0001982,"Ssid_184505_c0_seq1.p1, Ssid_262583_c0_seq1.p1"
OG0001983,
OG0001984,"Ssid_255155_c0_seq1.p1, Ssid_258462_c0_seq1.p1"
OG0001985,
OG0001986,Ssid_253438_c0_seq1.p1
OG0001987,"Ssid_244753_c0_seq3.p1, Ssid_262459_c0_seq2.p1"
OG0001988,"Ssid_250679_c0_seq9.p2, Ssid_250679_c0_seq9.p3, Ssid_260797_c0_seq10.p1"
OG0001989,Ssid_249222_c0_seq2.p1
OG0001990,
OG0001991,"Ssid_210789_c0_seq4.p1, Ssid_210789_c0_seq4.p2"
OG0001992,"Ssid_247479_c1_seq1.p1, Ssid_259069_c0_seq2.p1"
OG0001993,
OG0001994,
OG0001995,"Ssid_258334_c0_seq1.p2, Ssid_258334_c0_seq1.p4"
OG0001996,"Ssid_258092_c0_seq1.p1, Ssid_260185_c0_seq1.p1"
OG0001997,Ssid_250785_c0_seq2.p1
OG0001998,"Ssid_256778_c0_seq2.p1, Ssid_258843_c0_seq1.p1"
OG0001999,"Ssid_226316_c0_seq1.p1, Ssid_258161_c0_seq2.p1, Ssid_258594_c0_seq21.p1, Ssid_261735_c0_seq12.p1, Ssid_263100_c1_seq2.p1"
OG0002000,"Ssid_253809_c0_seq3.p1, Ssid_254415_c0_seq4.p1"
OG0002001,Ssid_262622_c0_seq2.p1
OG0002002,Ssid_240544_c0_seq1.p1
OG0002003,Ssid_260821_c0_seq2.p1
OG0002004,"Ssid_259867_c0_seq10.p1, Ssid_259867_c0_seq10.p2, Ssid_259867_c0_seq10.p3, Ssid_80955_c0_seq1.p1"
OG0002005,
OG0002006,Ssid_260243_c0_seq1.p1
OG0002007,
OG0002008,Ssid_258993_c2_seq8.p1
OG0002009,
OG0002010,Ssid_252894_c0_seq5.p1
OG0002011,"Ssid_251072_c0_seq1.p1, Ssid_251072_c0_seq1.p3, Ssid_257777_c0_seq1.p1, Ssid_257777_c0_seq1.p2, Ssid_257777_c1_seq1.p1"
OG0002012,
OG0002013,Ssid_258744_c0_seq7.p1
OG0002014,Ssid_2018_c0_seq2.p1
OG0002015,"Ssid_255395_c0_seq4.p1, Ssid_257216_c0_seq1.p1"
OG0002016,"Ssid_251906_c0_seq3.p1, Ssid_262558_c0_seq3.p1"
OG0002017,
OG0002018,"Ssid_211138_c0_seq2.p1, Ssid_252420_c0_seq1.p1, Ssid_257549_c1_seq3.p1"
OG0002019,
OG0002020,"Ssid_245984_c0_seq6.p1, Ssid_259837_c0_seq4.p1"
OG0002021,
OG0002022,
OG0002023,Ssid_252344_c0_seq7.p1
OG0002024,
OG0002025,"Ssid_248600_c0_seq26.p2, Ssid_251080_c0_seq1.p1"
OG0002026,Ssid_259715_c2_seq1.p1
OG0002027,"Ssid_263049_c0_seq5.p1, Ssid_263049_c0_seq5.p2"
OG0002028,"Ssid_258141_c0_seq2.p1, Ssid_261473_c0_seq5.p2"
OG0002029,"Ssid_133379_c0_seq1.p1, Ssid_263160_c0_seq3.p2, Ssid_263416_c0_seq12.p1"
OG0002030,"Ssid_251050_c0_seq16.p1, Ssid_256179_c0_seq4.p1"
OG0002031,Ssid_232183_c0_seq2.p1
OG0002032,"Ssid_257761_c0_seq3.p1, Ssid_259680_c0_seq8.p1"
OG0002033,"Ssid_111690_c0_seq1.p1, Ssid_259411_c0_seq1.p1"
OG0002034,"Ssid_190471_c0_seq2.p1, Ssid_190471_c0_seq2.p2, Ssid_255642_c0_seq2.p1"
OG0002035,"Ssid_258797_c0_seq4.p1, Ssid_258797_c0_seq4.p2"
OG0002036,Ssid_255222_c0_seq2.p1
OG0002037,Ssid_259063_c0_seq1.p1
OG0002038,Ssid_241627_c0_seq2.p1
OG0002039,"Ssid_250558_c0_seq1.p1, Ssid_262383_c0_seq1.p1"
OG0002040,
OG0002041,Ssid_243341_c0_seq1.p1
OG0002042,"Ssid_246629_c0_seq1.p1, Ssid_262486_c0_seq2.p1"
OG0002043,"Ssid_145697_c0_seq2.p1, Ssid_258095_c2_seq5.p1"
OG0002044,"Ssid_260854_c0_seq2.p1, Ssid_260854_c0_seq2.p2"
OG0002045,"Ssid_250333_c0_seq10.p2, Ssid_253632_c0_seq10.p2, Ssid_258116_c0_seq14.p1, Ssid_261045_c0_seq1.p1, Ssid_263101_c1_seq2.p5"
OG0002046,Ssid_248253_c1_seq1.p1
OG0002047,Ssid_261925_c0_seq1.p1
OG0002048,"Ssid_243280_c0_seq5.p1, Ssid_243814_c0_seq2.p1"
OG0002049,Ssid_262744_c0_seq18.p1
OG0002050,"Ssid_253973_c0_seq4.p1, Ssid_258823_c0_seq1.p1"
OG0002051,"Ssid_187220_c0_seq1.p2, Ssid_263160_c0_seq3.p1"
OG0002052,Ssid_244668_c0_seq1.p1
OG0002053,Ssid_257862_c0_seq1.p1
OG0002054,"Ssid_256165_c0_seq2.p1, Ssid_256568_c0_seq4.p1"
OG0002055,Ssid_248400_c0_seq5.p1
OG0002056,Ssid_261531_c0_seq1.p1
OG0002057,Ssid_254166_c0_seq1.p1
OG0002058,"Ssid_255239_c0_seq2.p1, Ssid_255239_c0_seq2.p2"
OG0002059,"Ssid_246446_c0_seq1.p1, Ssid_260344_c0_seq2.p1"
OG0002060,"Ssid_222254_c0_seq1.p1, Ssid_259757_c1_seq1.p1"
OG0002061,"Ssid_250325_c0_seq4.p1, Ssid_258527_c0_seq11.p2"
OG0002062,"Ssid_262230_c6_seq3.p2, Ssid_263565_c2_seq3.p1"
OG0002063,Ssid_258593_c0_seq1.p1
OG0002064,Ssid_261825_c0_seq2.p1
OG0002065,Ssid_232569_c0_seq1.p1
OG0002066,"Ssid_253108_c0_seq2.p1, Ssid_259576_c0_seq1.p1"
OG0002067,"Ssid_250518_c0_seq2.p1, Ssid_252822_c0_seq1.p1"
OG0002068,Ssid_260425_c0_seq3.p1
OG0002069,Ssid_258087_c0_seq19.p1
OG0002070,Ssid_260161_c0_seq5.p2
OG0002071,Ssid_257478_c0_seq2.p1
OG0002072,"Ssid_247088_c0_seq3.p1, Ssid_263258_c2_seq1.p1"
OG0002073,Ssid_262711_c0_seq4.p4
OG0002074,"Ssid_236302_c0_seq3.p1, Ssid_236302_c0_seq3.p2, Ssid_236302_c0_seq3.p3"
OG0002075,"Ssid_210988_c0_seq1.p1, Ssid_263101_c1_seq2.p1"
OG0002076,"Ssid_255818_c0_seq1.p1, Ssid_255818_c0_seq1.p2"
OG0002077,Ssid_205665_c0_seq1.p1
OG0002078,Ssid_243443_c0_seq1.p1
OG0002079,"Ssid_181767_c0_seq1.p1, Ssid_240348_c0_seq1.p1"
OG0002080,Ssid_241773_c0_seq1.p2
OG0002081,"Ssid_246313_c0_seq1.p1, Ssid_246313_c0_seq1.p3"
OG0002082,"Ssid_257303_c0_seq2.p1, Ssid_257303_c0_seq2.p2"
OG0002083,Ssid_259545_c0_seq8.p1
OG0002084,"Ssid_258537_c0_seq1.p1, Ssid_258537_c0_seq1.p2"
OG0002085,"Ssid_148746_c0_seq1.p1, Ssid_250542_c0_seq9.p1"
OG0002086,"Ssid_255761_c0_seq1.p1, Ssid_259048_c0_seq2.p1"
OG0002087,
OG0002088,Ssid_258755_c0_seq1.p1
OG0002089,"Ssid_247375_c1_seq3.p1, Ssid_247375_c1_seq3.p4"
OG0002090,"Ssid_258564_c1_seq2.p1, Ssid_259980_c0_seq1.p1"
OG0002091,"Ssid_236308_c0_seq2.p1, Ssid_262404_c0_seq2.p2, Ssid_262404_c0_seq2.p3"
OG0002092,"Ssid_259439_c1_seq15.p1, Ssid_259439_c1_seq15.p2"
OG0002093,Ssid_258336_c0_seq1.p1
OG0002094,Ssid_259434_c0_seq2.p1
OG0002095,Ssid_258309_c1_seq2.p1
OG0002096,"Ssid_242204_c0_seq6.p1, Ssid_242204_c0_seq6.p2, Ssid_248437_c0_seq2.p3"
OG0002097,Ssid_257165_c0_seq1.p2
OG0002098,Ssid_239311_c0_seq18.p1
OG0002099,"Ssid_262333_c0_seq1.p1, Ssid_262428_c0_seq2.p1, Ssid_262428_c0_seq2.p2"
OG0002100,"Ssid_260140_c0_seq2.p1, Ssid_263603_c0_seq1.p1"
OG0002101,"Ssid_260723_c0_seq11.p2, Ssid_262519_c1_seq1.p1"
OG0002102,"Ssid_153058_c0_seq1.p1, Ssid_235634_c0_seq4.p1, Ssid_257547_c0_seq1.p1, Ssid_257547_c1_seq1.p1"
OG0002103,"Ssid_209773_c0_seq1.p1, Ssid_228398_c0_seq1.p1, Ssid_237535_c0_seq1.p1, Ssid_260832_c0_seq2.p1"
OG0002104,"Ssid_235286_c0_seq1.p1, Ssid_254854_c0_seq3.p1"
OG0002105,"Ssid_258373_c0_seq1.p1, Ssid_258373_c0_seq1.p2"
OG0002106,Ssid_263704_c0_seq1.p1
OG0002107,"Ssid_253745_c0_seq1.p1, Ssid_256592_c0_seq7.p1, Ssid_256592_c0_seq7.p2, Ssid_256592_c0_seq7.p3"
OG0002108,Ssid_261230_c0_seq2.p1
OG0002109,"Ssid_242500_c0_seq3.p1, Ssid_242500_c0_seq3.p2"
OG0002110,"Ssid_229633_c0_seq1.p1, Ssid_238775_c0_seq1.p1, Ssid_248549_c0_seq5.p1, Ssid_248549_c0_seq5.p2"
OG0002111,"Ssid_243827_c0_seq1.p1, Ssid_256493_c0_seq1.p1"
OG0002112,"Ssid_230234_c0_seq1.p1, Ssid_260973_c0_seq1.p1"
OG0002113,"Ssid_255860_c0_seq1.p1, Ssid_63432_c0_seq1.p1"
OG0002114,"Ssid_237776_c0_seq3.p1, Ssid_250096_c1_seq13.p1"
OG0002115,"Ssid_209184_c2_seq2.p1, Ssid_260146_c0_seq17.p1"
OG0002116,"Ssid_196172_c0_seq1.p1, Ssid_225034_c0_seq1.p1, Ssid_259530_c1_seq2.p1, Ssid_59829_c0_seq1.p1"
OG0002117,Ssid_261057_c0_seq5.p1
OG0002118,Ssid_260860_c1_seq6.p2
OG0002119,"Ssid_235143_c0_seq1.p1, Ssid_243790_c0_seq1.p1, Ssid_250702_c0_seq1.p1"
OG0002120,"Ssid_253870_c0_seq2.p1, Ssid_259926_c0_seq2.p1, Ssid_262421_c1_seq3.p1"
OG0002121,"Ssid_232150_c0_seq2.p1, Ssid_262013_c1_seq7.p2"
OG0002122,Ssid_261367_c0_seq1.p1
OG0002123,Ssid_248801_c0_seq2.p1
OG0002124,"Ssid_260594_c0_seq31.p1, Ssid_263577_c0_seq1.p1"
OG0002125,
OG0002126,Ssid_390757_c0_seq1.p1
OG0002127,"Ssid_244586_c0_seq1.p1, Ssid_249384_c0_seq1.p1, Ssid_249482_c0_seq1.p1"
OG0002128,"Ssid_240666_c0_seq2.p1, Ssid_385594_c0_seq1.p1, Ssid_427058_c0_seq1.p1"
OG0002129,
OG0002130,Ssid_263494_c0_seq2.p1
OG0002131,
OG0002132,"Ssid_130722_c0_seq1.p1, Ssid_130722_c0_seq1.p3, Ssid_130722_c0_seq1.p4, Ssid_168527_c0_seq1.p1, Ssid_242082_c0_seq1.p1"
OG0002133,
OG0002134,Ssid_257142_c0_seq1.p1
OG0002135,
OG0002136,
OG0002137,Ssid_241239_c0_seq1.p2
OG0002138,
OG0002139,"Ssid_258062_c1_seq5.p1, Ssid_258062_c1_seq5.p2"
OG0002140,Ssid_261284_c0_seq1.p1
OG0002141,
OG0002142,"Ssid_247850_c0_seq3.p1, Ssid_255550_c0_seq3.p1"
OG0002143,"Ssid_250173_c0_seq4.p1, Ssid_32594_c0_seq1.p1, Ssid_424317_c0_seq1.p1, Ssid_92604_c0_seq1.p1"
OG0002144,
OG0002145,Ssid_362378_c0_seq1.p1
OG0002146,"Ssid_110244_c0_seq1.p2, Ssid_243338_c0_seq4.p2, Ssid_255279_c0_seq3.p2"
OG0002147,"Ssid_241140_c0_seq3.p1, Ssid_252026_c0_seq2.p1, Ssid_257508_c0_seq3.p1"
OG0002148,Ssid_250656_c0_seq1.p2
OG0002149,
OG0002150,"Ssid_242184_c0_seq11.p3, Ssid_256528_c0_seq8.p1, Ssid_262013_c1_seq7.p4, Ssid_78577_c0_seq1.p1"
OG0002151,Ssid_249531_c0_seq5.p1
OG0002152,Ssid_241090_c0_seq5.p2
OG0002153,
OG0002154,"Ssid_184601_c0_seq1.p1, Ssid_254390_c0_seq1.p1, Ssid_261346_c2_seq1.p1"
OG0002155,Ssid_263081_c1_seq2.p1
OG0002156,"Ssid_175948_c0_seq1.p1, Ssid_233954_c1_seq2.p1"
OG0002157,"Ssid_257141_c0_seq1.p1, Ssid_259022_c0_seq1.p1, Ssid_262203_c0_seq5.p1"
OG0002158,
OG0002159,Ssid_257698_c0_seq2.p1
OG0002160,
OG0002161,
OG0002162,Ssid_235334_c0_seq4.p1
OG0002163,Ssid_228327_c0_seq1.p1
OG0002164,
OG0002165,Ssid_239349_c0_seq1.p1
OG0002166,"Ssid_242766_c0_seq1.p1, Ssid_261638_c0_seq1.p1, Ssid_327891_c0_seq1.p1, Ssid_373058_c0_seq1.p1"
OG0002167,Ssid_260003_c0_seq2.p1
OG0002168,Ssid_237316_c0_seq2.p1
OG0002169,Ssid_22858_c0_seq1.p1
OG0002170,Ssid_260782_c0_seq4.p1
OG0002171,
OG0002172,Ssid_262198_c1_seq1.p1
OG0002173,"Ssid_160615_c0_seq1.p2, Ssid_181105_c0_seq1.p1, Ssid_182699_c0_seq1.p1, Ssid_240484_c0_seq2.p1, Ssid_246413_c0_seq1.p2, Ssid_247160_c0_seq1.p2, Ssid_381441_c0_seq1.p1, Ssid_98387_c0_seq1.p1"
OG0002174,
OG0002175,
OG0002176,
OG0002177,
OG0002178,
OG0002179,
OG0002180,
OG0002181,
OG0002182,
OG0002183,
OG0002184,"Ssid_256039_c1_seq1.p2, Ssid_260289_c0_seq3.p3"
OG0002185,"Ssid_262668_c1_seq13.p1, Ssid_262668_c1_seq13.p2"
OG0002186,
OG0002187,
OG0002188,Ssid_396717_c0_seq1.p1
OG0002189,"Ssid_256841_c0_seq3.p1, Ssid_256841_c0_seq3.p2"
OG0002190,
OG0002191,Ssid_212147_c0_seq4.p2
OG0002192,Ssid_255265_c0_seq8.p1
OG0002193,"Ssid_165830_c0_seq2.p1, Ssid_230362_c0_seq1.p1"
OG0002194,"Ssid_253934_c0_seq9.p2, Ssid_253934_c0_seq9.p3"
OG0002195,
OG0002196,Ssid_260875_c0_seq4.p1
OG0002197,
OG0002198,Ssid_238236_c0_seq5.p1
OG0002199,Ssid_254360_c1_seq2.p1
OG0002200,
OG0002201,"Ssid_227792_c0_seq1.p1, Ssid_368436_c0_seq1.p1"
OG0002202,Ssid_256346_c0_seq2.p1
OG0002203,Ssid_162535_c0_seq1.p1
OG0002204,"Ssid_279747_c0_seq1.p1, Ssid_9459_c0_seq1.p1"
OG0002205,Ssid_153194_c0_seq1.p1
OG0002206,Ssid_221826_c0_seq1.p1
OG0002207,Ssid_337228_c0_seq1.p1
OG0002208,"Ssid_259870_c0_seq4.p1, Ssid_259870_c0_seq4.p2"
OG0002209,"Ssid_261437_c0_seq3.p1, Ssid_261437_c0_seq3.p2"
OG0002210,
OG0002211,
OG0002212,Ssid_257209_c0_seq3.p1
OG0002213,Ssid_288799_c0_seq1.p1
OG0002214,
OG0002215,
OG0002216,Ssid_159690_c0_seq1.p1
OG0002217,
OG0002218,
OG0002219,"Ssid_252711_c0_seq2.p1, Ssid_259065_c0_seq8.p2"
OG0002220,
OG0002221,"Ssid_110489_c0_seq1.p1, Ssid_207306_c1_seq9.p2"
OG0002222,
OG0002223,"Ssid_262423_c0_seq1.p1, Ssid_263422_c0_seq2.p1"
OG0002224,"Ssid_333517_c0_seq1.p1, Ssid_86714_c0_seq1.p1"
OG0002225,"Ssid_232037_c0_seq2.p1, Ssid_253400_c0_seq6.p1"
OG0002226,Ssid_248792_c0_seq1.p1
OG0002227,"Ssid_13195_c0_seq1.p1, Ssid_255901_c0_seq5.p1"
OG0002228,Ssid_248159_c1_seq1.p1
OG0002229,"Ssid_218462_c0_seq1.p1, Ssid_236685_c0_seq2.p1, Ssid_340864_c0_seq1.p1"
OG0002230,Ssid_253724_c0_seq2.p1
OG0002231,"Ssid_262284_c0_seq1.p1, Ssid_262284_c1_seq1.p1"
OG0002232,Ssid_125403_c0_seq1.p1
OG0002233,
OG0002234,Ssid_255551_c1_seq2.p1
OG0002235,
OG0002236,Ssid_186624_c0_seq1.p1
OG0002237,Ssid_259796_c0_seq3.p1
OG0002238,Ssid_258144_c1_seq4.p1
OG0002239,Ssid_254682_c0_seq5.p1
OG0002240,Ssid_83697_c0_seq1.p1
OG0002241,Ssid_245207_c1_seq1.p1
OG0002242,Ssid_163230_c0_seq7.p1
OG0002243,Ssid_255598_c0_seq1.p1
OG0002244,"Ssid_260202_c0_seq3.p1, Ssid_260202_c0_seq3.p2, Ssid_26712_c0_seq1.p1"
OG0002245,Ssid_258968_c0_seq1.p1
OG0002246,"Ssid_261028_c0_seq13.p1, Ssid_261028_c0_seq13.p2"
OG0002247,
OG0002248,Ssid_224583_c0_seq1.p1
OG0002249,
OG0002250,
OG0002251,"Ssid_261792_c0_seq2.p1, Ssid_261792_c0_seq2.p2"
OG0002252,Ssid_256242_c0_seq1.p1
