Orthogroup,Mcav_No_isos
OG0003253,
OG0003254,Mcav_52055_c7_g1_i6.p1
OG0003255,"Mcav_33401_c0_g1_i1.p1, Mcav_33411_c14_g1_i2.p1"
OG0003256,"Mcav_60650_c1_g1_i1.p1, Mcav_60650_c1_g1_i2.p1"
OG0003257,"Mcav_40460_c17_g1_i1.p1, Mcav_40460_c9_g1_i1.p1"
OG0003258,"Mcav_60598_c3_g1_i3.p1, Mcav_60598_c3_g1_i4.p1"
OG0003259,"Mcav_10850_c32_g1_i1.p1, Mcav_17257_c16_g1_i1.p1, Mcav_17257_c19_g1_i1.p1, Mcav_59479_c11_g1_i1.p2"
OG0003260,"Mcav_27283_c3_g1_i1.p1, Mcav_27283_c3_g1_i2.p1"
OG0003261,Mcav_28025_c98_g1_i1.p1
OG0003262,Mcav_22049_c2_g1_i1.p1
OG0003263,Mcav_10484_c14_g1_i2.p1
OG0003264,"Mcav_44109_c15_g1_i1.p1, Mcav_52482_c0_g1_i1.p1"
OG0003265,"Mcav_29971_c2_g1_i1.p1, Mcav_29971_c2_g1_i4.p2"
OG0003266,
OG0003267,Mcav_57010_c0_g1_i2.p1
OG0003268,Mcav_36817_c1_g1_i1.p1
OG0003269,"Mcav_18435_c3_g1_i1.p1, Mcav_18443_c8_g1_i2.p2, Mcav_18443_c8_g1_i4.p1"
OG0003270,Mcav_26397_c2_g1_i2.p1
OG0003271,"Mcav_14457_c1_g1_i2.p1, Mcav_24006_c15_g1_i1.p1, Mcav_24016_c0_g1_i1.p1"
OG0003272,"Mcav_38956_c0_g1_i1.p1, Mcav_55188_c20_g1_i1.p1, Mcav_8575_c4_g1_i1.p2"
OG0003273,"Mcav_21333_c0_g1_i1.p1, Mcav_21333_c0_g1_i1.p2, Mcav_21351_c0_g1_i1.p1, Mcav_6105_c10_g1_i1.p1"
OG0003274,Mcav_29234_c25_g1_i2.p1
OG0003275,"Mcav_1843_c0_g1_i1.p1, Mcav_28545_c0_g1_i1.p1, Mcav_36157_c1_g1_i1.p1, Mcav_36157_c1_g1_i1.p3, Mcav_4525_c0_g1_i1.p2, Mcav_59862_c1_g1_i1.p1, Mcav_8943_c0_g1_i1.p1"
OG0003276,Mcav_46246_c5_g1_i1.p1
OG0003277,"Mcav_32871_c5_g1_i1.p1, Mcav_32871_c5_g1_i2.p1"
OG0003278,"Mcav_21288_c12_g1_i1.p1, Mcav_32452_c15_g1_i3.p1, Mcav_32453_c0_g1_i1.p1"
OG0003279,Mcav_49172_c92_g1_i1.p1
OG0003280,"Mcav_35423_c7_g1_i1.p1, Mcav_35423_c7_g1_i1.p2, Mcav_35423_c7_g1_i4.p1"
OG0003281,"Mcav_48372_c0_g1_i1.p1, Mcav_56286_c0_g1_i1.p1"
OG0003282,"Mcav_13050_c0_g1_i4.p1, Mcav_13053_c0_g1_i1.p1"
OG0003283,"Mcav_1087_c2_g1_i1.p2, Mcav_17449_c2_g1_i2.p1, Mcav_3507_c55_g1_i1.p1"
OG0003284,"Mcav_27294_c10_g1_i1.p1, Mcav_27294_c13_g1_i4.p1"
OG0003285,Mcav_16633_c1_g2_i1.p1
OG0003286,"Mcav_26522_c0_g1_i1.p1, Mcav_52531_c0_g2_i4.p1, Mcav_61914_c1_g2_i2.p1"
OG0003287,"Mcav_41503_c0_g1_i3.p1, Mcav_41527_c1_g1_i1.p1"
OG0003288,"Mcav_54169_c107_g1_i1.p1, Mcav_54169_c81_g1_i1.p1, Mcav_54169_c88_g1_i1.p1"
OG0003289,Mcav_49601_c84_g1_i1.p2
OG0003290,"Mcav_24845_c1_g1_i1.p1, Mcav_24845_c1_g1_i2.p1"
OG0003291,Mcav_13392_c0_g1_i1.p1
OG0003292,"Mcav_18010_c8_g1_i1.p3, Mcav_34797_c6_g2_i2.p1, Mcav_34797_c6_g2_i3.p1"
OG0003293,"Mcav_28681_c2_g1_i1.p1, Mcav_28681_c2_g1_i2.p1"
OG0003294,Mcav_28520_c10_g2_i1.p1
OG0003295,Mcav_34399_c20_g1_i1.p1
OG0003296,Mcav_43001_c10_g1_i1.p1
OG0003297,Mcav_7507_c6_g1_i2.p1
OG0003298,"Mcav_35105_c16_g1_i1.p1, Mcav_35105_c16_g1_i2.p1, Mcav_35105_c16_g1_i6.p1"
OG0003299,"Mcav_23130_c19_g1_i1.p2, Mcav_23130_c19_g1_i2.p2"
OG0003300,"Mcav_19412_c2_g1_i1.p1, Mcav_19412_c2_g1_i1.p2, Mcav_19412_c2_g1_i2.p1"
OG0003301,"Mcav_22132_c1_g1_i2.p1, Mcav_22135_c5_g1_i1.p1, Mcav_22135_c5_g1_i4.p2"
OG0003302,"Mcav_30115_c7_g1_i10.p1, Mcav_30115_c7_g1_i2.p1, Mcav_30115_c7_g1_i4.p1"
OG0003303,"Mcav_39073_c43_g1_i2.p1, Mcav_39073_c88_g2_i2.p1, Mcav_39073_c88_g2_i3.p1"
OG0003304,"Mcav_14819_c7_g1_i1.p1, Mcav_36792_c1_g1_i3.p1"
OG0003305,Mcav_32396_c3_g1_i1.p1
OG0003306,"Mcav_51727_c0_g1_i1.p1, Mcav_51730_c0_g1_i1.p1"
OG0003307,Mcav_3566_c6_g1_i2.p1
OG0003308,Mcav_58424_c0_g1_i1.p1
OG0003309,Mcav_12277_c3_g1_i2.p1
OG0003310,"Mcav_28960_c2_g1_i1.p1, Mcav_28960_c2_g1_i4.p1"
OG0003311,"Mcav_52410_c3_g1_i1.p1, Mcav_52417_c0_g1_i1.p1"
OG0003312,"Mcav_1814_c1_g1_i1.p1, Mcav_1814_c1_g1_i3.p1, Mcav_1814_c1_g1_i5.p1"
OG0003313,"Mcav_17158_c6_g1_i3.p1, Mcav_20061_c1_g1_i1.p1"
OG0003314,"Mcav_59335_c3_g1_i1.p1, Mcav_59346_c3_g1_i1.p1"
OG0003315,Mcav_54173_c0_g1_i5.p1
OG0003316,Mcav_50947_c0_g1_i1.p1
OG0003317,Mcav_29423_c1_g1_i1.p1
OG0003318,"Mcav_41715_c3_g1_i2.p1, Mcav_41715_c3_g1_i3.p1"
OG0003319,"Mcav_1225_c13_g1_i2.p2, Mcav_1225_c13_g1_i5.p1, Mcav_2311_c15_g1_i1.p1, Mcav_2311_c27_g1_i1.p1, Mcav_2311_c28_g1_i2.p1, Mcav_2311_c28_g2_i1.p1"
OG0003320,"Mcav_59269_c2_g1_i1.p1, Mcav_60414_c10_g1_i1.p1, Mcav_60414_c10_g1_i4.p1"
OG0003321,"Mcav_46726_c10_g1_i1.p2, Mcav_46726_c9_g1_i1.p1"
OG0003322,"Mcav_4374_c0_g1_i1.p1, Mcav_4375_c12_g1_i1.p1, Mcav_4375_c12_g1_i3.p1"
OG0003323,Mcav_60795_c7_g1_i1.p1
OG0003324,
OG0003325,"Mcav_30630_c4_g1_i1.p1, Mcav_30631_c2_g1_i2.p1"
OG0003326,"Mcav_113_c0_g1_i1.p1, Mcav_50805_c42_g1_i2.p1, Mcav_50805_c42_g1_i4.p1"
OG0003327,"Mcav_56545_c97_g1_i1.p2, Mcav_56545_c97_g1_i2.p1"
OG0003328,Mcav_50276_c3_g1_i5.p1
OG0003329,Mcav_23572_c0_g1_i1.p1
OG0003330,Mcav_38385_c8_g1_i1.p1
OG0003331,
OG0003332,"Mcav_56284_c12_g1_i1.p1, Mcav_56284_c14_g1_i1.p1"
OG0003333,"Mcav_24548_c4_g1_i1.p1, Mcav_24548_c4_g1_i3.p1, Mcav_24571_c2_g1_i2.p1"
OG0003334,Mcav_8942_c2_g1_i1.p1
OG0003335,Mcav_57643_c0_g1_i1.p1
OG0003336,Mcav_29152_c5_g1_i1.p1
OG0003337,"Mcav_49480_c0_g1_i1.p1, Mcav_49496_c1_g1_i1.p1"
OG0003338,Mcav_62285_c0_g1_i1.p1
OG0003339,Mcav_5472_c6_g1_i2.p1
OG0003340,Mcav_15662_c3_g1_i2.p1
OG0003341,"Mcav_33196_c4_g1_i1.p1, Mcav_58787_c3_g1_i1.p1"
OG0003342,"Mcav_2803_c26_g2_i1.p1, Mcav_2803_c28_g1_i1.p1"
OG0003343,
OG0003344,"Mcav_61020_c3_g1_i2.p1, Mcav_61020_c4_g1_i1.p1, Mcav_61020_c4_g1_i2.p3"
OG0003345,Mcav_38238_c15_g1_i1.p1
OG0003346,Mcav_45091_c3_g1_i2.p1
OG0003347,"Mcav_44029_c0_g1_i1.p1, Mcav_55768_c3_g1_i1.p1"
OG0003348,"Mcav_9178_c1_g1_i1.p1, Mcav_9178_c1_g2_i2.p1"
OG0003349,"Mcav_32744_c1_g1_i1.p1, Mcav_32759_c1_g1_i1.p1"
OG0003350,"Mcav_42323_c23_g1_i1.p1, Mcav_42323_c23_g1_i3.p1, Mcav_42323_c23_g1_i3.p2"
OG0003351,"Mcav_38179_c3_g1_i3.p1, Mcav_38179_c3_g1_i5.p1"
OG0003352,Mcav_60149_c5_g2_i1.p1
OG0003353,"Mcav_35753_c7_g1_i2.p1, Mcav_35753_c7_g1_i4.p1"
OG0003354,Mcav_45211_c6_g1_i1.p1
OG0003355,"Mcav_2868_c1_g1_i1.p1, Mcav_2872_c0_g1_i1.p1"
OG0003356,"Mcav_41407_c1_g1_i1.p1, Mcav_41417_c0_g1_i1.p1"
OG0003357,Mcav_51499_c4_g1_i1.p1
OG0003358,Mcav_49825_c80_g1_i1.p1
OG0003359,Mcav_16307_c2_g1_i2.p1
OG0003360,"Mcav_23141_c10_g1_i1.p1, Mcav_23141_c15_g1_i3.p1"
OG0003361,Mcav_9494_c12_g1_i1.p1
OG0003362,Mcav_2495_c8_g1_i2.p1
OG0003363,Mcav_51206_c4_g1_i2.p1
OG0003364,Mcav_23553_c16_g1_i2.p1
OG0003365,Mcav_11838_c48_g1_i1.p2
OG0003366,"Mcav_52346_c9_g3_i1.p1, Mcav_52346_c9_g3_i2.p2"
OG0003367,Mcav_10887_c2_g1_i1.p1
OG0003368,"Mcav_21009_c2_g1_i1.p1, Mcav_21009_c2_g1_i1.p2, Mcav_21021_c0_g1_i1.p1, Mcav_21021_c1_g1_i1.p1"
OG0003369,Mcav_60896_c14_g1_i1.p1
OG0003370,"Mcav_10433_c11_g1_i3.p1, Mcav_15194_c8_g1_i2.p1, Mcav_19891_c8_g1_i1.p1, Mcav_36622_c0_g1_i1.p1, Mcav_41053_c4_g1_i1.p1, Mcav_58729_c3_g1_i1.p1, Mcav_8579_c1_g1_i4.p1"
OG0003371,Mcav_17087_c2_g1_i2.p1
OG0003372,"Mcav_49464_c4_g1_i1.p1, Mcav_49464_c4_g1_i3.p1"
OG0003373,"Mcav_26781_c3_g1_i1.p1, Mcav_26789_c0_g1_i2.p1"
OG0003374,"Mcav_35281_c2_g1_i1.p2, Mcav_45088_c32_g1_i2.p1"
OG0003375,
OG0003376,Mcav_51459_c2_g1_i1.p1
OG0003377,Mcav_60493_c9_g1_i1.p1
OG0003378,"Mcav_33578_c3_g2_i1.p1, Mcav_33578_c3_g2_i2.p1"
OG0003379,"Mcav_42974_c0_g1_i1.p2, Mcav_42974_c0_g1_i2.p1"
OG0003380,"Mcav_49812_c3_g1_i1.p1, Mcav_49814_c2_g1_i1.p1"
OG0003381,Mcav_50544_c2_g1_i1.p1
OG0003382,"Mcav_38370_c12_g1_i1.p1, Mcav_57574_c1_g1_i1.p1"
OG0003383,"Mcav_28849_c4_g1_i1.p1, Mcav_28849_c5_g1_i1.p1"
OG0003384,Mcav_4121_c7_g1_i1.p1
OG0003385,"Mcav_15659_c8_g1_i1.p1, Mcav_15659_c8_g1_i2.p1"
OG0003386,"Mcav_43702_c6_g1_i1.p1, Mcav_43702_c7_g1_i1.p1"
OG0003387,"Mcav_49663_c0_g1_i1.p1, Mcav_55144_c0_g1_i2.p1, Mcav_60631_c2_g1_i1.p1"
OG0003388,Mcav_46967_c4_g1_i4.p1
OG0003389,"Mcav_18520_c1_g1_i1.p1, Mcav_18520_c1_g1_i3.p1"
OG0003390,Mcav_8929_c7_g1_i1.p1
OG0003391,"Mcav_14169_c0_g1_i1.p1, Mcav_39553_c2_g1_i3.p1"
OG0003392,Mcav_61048_c40_g1_i1.p1
OG0003393,Mcav_22981_c1_g1_i1.p1
OG0003394,Mcav_15500_c6_g2_i1.p1
OG0003395,Mcav_17553_c13_g1_i1.p1
OG0003396,Mcav_55309_c4_g1_i1.p1
OG0003397,Mcav_11753_c1_g1_i1.p1
OG0003398,"Mcav_30985_c4_g1_i2.p1, Mcav_30985_c4_g1_i4.p1, Mcav_30985_c4_g1_i7.p1"
OG0003399,Mcav_37263_c4_g1_i2.p1
OG0003400,"Mcav_50876_c0_g1_i1.p1, Mcav_50935_c0_g1_i1.p1"
OG0003401,"Mcav_45001_c0_g1_i1.p1, Mcav_542_c0_g2_i2.p1, Mcav_557_c3_g1_i5.p1"
OG0003402,"Mcav_52902_c11_g2_i1.p1, Mcav_52902_c11_g2_i2.p1, Mcav_52902_c5_g1_i1.p1, Mcav_52932_c3_g1_i1.p1"
OG0003403,"Mcav_58765_c3_g1_i2.p1, Mcav_58765_c3_g1_i3.p1"
OG0003404,
OG0003405,"Mcav_35752_c3_g1_i1.p1, Mcav_49993_c4_g1_i1.p1, Mcav_57422_c4_g1_i4.p1"
OG0003406,"Mcav_54617_c0_g1_i1.p1, Mcav_54637_c7_g1_i1.p2"
OG0003407,"Mcav_36848_c109_g1_i1.p1, Mcav_36848_c109_g1_i1.p2, Mcav_36848_c109_g1_i5.p1"
OG0003408,Mcav_54630_c10_g1_i1.p1
OG0003409,"Mcav_44693_c5_g1_i2.p1, Mcav_44698_c0_g1_i1.p1"
OG0003410,Mcav_9829_c17_g1_i1.p1
OG0003411,Mcav_46482_c1_g1_i1.p1
OG0003412,"Mcav_19657_c4_g1_i2.p1, Mcav_19657_c5_g1_i1.p1"
OG0003413,"Mcav_23502_c1_g1_i1.p1, Mcav_23502_c1_g1_i2.p1, Mcav_23502_c1_g1_i3.p1, Mcav_23502_c2_g1_i1.p1"
OG0003414,Mcav_46166_c6_g1_i2.p1
OG0003415,"Mcav_45330_c10_g1_i1.p1, Mcav_45330_c10_g1_i2.p1, Mcav_45330_c6_g1_i1.p1"
OG0003416,"Mcav_57925_c2_g1_i1.p1, Mcav_7501_c26_g1_i1.p1, Mcav_7501_c26_g1_i4.p1"
OG0003417,"Mcav_35862_c32_g1_i1.p1, Mcav_35862_c7_g1_i1.p1"
OG0003418,Mcav_7647_c6_g1_i2.p1
OG0003419,Mcav_27611_c16_g1_i1.p2
OG0003420,"Mcav_60628_c3_g1_i1.p1, Mcav_60628_c3_g2_i1.p1"
OG0003421,Mcav_36678_c1_g1_i1.p1
OG0003422,"Mcav_32197_c11_g1_i1.p1, Mcav_32197_c14_g1_i1.p2"
OG0003423,"Mcav_53454_c6_g1_i1.p1, Mcav_53479_c1_g1_i1.p1"
OG0003424,Mcav_26661_c58_g1_i1.p1
OG0003425,"Mcav_39776_c0_g1_i1.p1, Mcav_39782_c25_g1_i1.p1"
OG0003426,Mcav_22157_c6_g1_i2.p1
OG0003427,"Mcav_13948_c2_g1_i1.p1, Mcav_21107_c0_g1_i1.p1, Mcav_21118_c1_g1_i1.p1, Mcav_57798_c2_g1_i1.p1"
OG0003428,"Mcav_52777_c7_g1_i1.p1, Mcav_52777_c7_g1_i1.p2"
OG0003429,Mcav_52469_c0_g1_i1.p1
OG0003430,"Mcav_3042_c126_g1_i2.p1, Mcav_3042_c126_g1_i6.p1, Mcav_3053_c9_g1_i1.p2"
OG0003431,Mcav_28518_c7_g1_i2.p1
OG0003432,"Mcav_24575_c10_g1_i1.p2, Mcav_24575_c13_g1_i4.p1, Mcav_56473_c11_g2_i1.p1"
OG0003433,"Mcav_50892_c0_g1_i1.p1, Mcav_50913_c4_g1_i1.p1, Mcav_50913_c6_g1_i1.p1"
OG0003434,Mcav_5431_c1_g1_i2.p1
OG0003435,"Mcav_16217_c7_g1_i1.p1, Mcav_16217_c9_g1_i5.p1"
OG0003436,Mcav_15741_c3_g2_i1.p1
OG0003437,"Mcav_35100_c2_g1_i1.p1, Mcav_35100_c3_g1_i2.p1"
OG0003438,"Mcav_62202_c0_g1_i1.p1, Mcav_62202_c0_g1_i2.p1"
OG0003439,"Mcav_28128_c3_g1_i1.p1, Mcav_51538_c14_g1_i3.p1"
OG0003440,Mcav_42342_c10_g1_i2.p1
OG0003441,"Mcav_46289_c1_g1_i2.p4, Mcav_60357_c2_g1_i1.p1, Mcav_60357_c2_g1_i2.p2, Mcav_60357_c6_g1_i1.p1"
OG0003442,"Mcav_52266_c2_g1_i1.p1, Mcav_52266_c3_g1_i1.p1"
OG0003443,"Mcav_38654_c0_g1_i1.p1, Mcav_38654_c3_g1_i2.p1, Mcav_38658_c2_g1_i2.p1"
OG0003444,Mcav_34052_c7_g1_i1.p1
OG0003445,"Mcav_18688_c86_g1_i3.p1, Mcav_30708_c2_g1_i1.p1, Mcav_37543_c0_g1_i1.p1, Mcav_51372_c6_g1_i1.p1"
OG0003446,Mcav_23565_c21_g1_i2.p1
OG0003447,Mcav_56628_c0_g1_i1.p1
OG0003448,"Mcav_10312_c2_g1_i2.p1, Mcav_10312_c3_g1_i2.p1"
OG0003449,"Mcav_29137_c10_g1_i4.p1, Mcav_29137_c10_g1_i5.p1"
OG0003450,"Mcav_52856_c16_g1_i2.p1, Mcav_52856_c16_g3_i1.p1, Mcav_52856_c16_g4_i1.p1"
OG0003451,Mcav_16193_c12_g1_i1.p1
OG0003452,Mcav_19652_c11_g1_i1.p1
OG0003453,Mcav_28459_c106_g1_i3.p1
OG0003454,Mcav_5265_c2_g1_i1.p1
OG0003455,"Mcav_50889_c4_g2_i3.p1, Mcav_50889_c6_g1_i1.p1"
OG0003456,"Mcav_12512_c0_g1_i1.p1, Mcav_58524_c0_g1_i1.p1"
OG0003457,"Mcav_10481_c3_g1_i1.p1, Mcav_10504_c0_g1_i1.p1, Mcav_10504_c0_g1_i2.p1"
OG0003458,Mcav_38363_c0_g1_i1.p1
OG0003459,"Mcav_15716_c2_g1_i1.p1, Mcav_20932_c0_g1_i1.p1"
OG0003460,"Mcav_8448_c14_g1_i2.p1, Mcav_8448_c14_g2_i1.p1, Mcav_8448_c14_g3_i2.p1"
OG0003461,"Mcav_41308_c3_g1_i1.p1, Mcav_41322_c16_g1_i1.p2"
OG0003462,Mcav_23426_c1_g2_i1.p1
OG0003463,"Mcav_1137_c26_g1_i1.p1, Mcav_1137_c60_g1_i1.p1, Mcav_26364_c21_g1_i1.p1, Mcav_45072_c2_g1_i1.p1, Mcav_56834_c0_g1_i1.p1"
OG0003464,"Mcav_6528_c35_g1_i1.p1, Mcav_6528_c35_g1_i7.p1"
OG0003465,"Mcav_61501_c6_g1_i1.p1, Mcav_61501_c6_g2_i3.p1"
OG0003466,
OG0003467,Mcav_8885_c3_g1_i1.p1
OG0003468,"Mcav_11604_c7_g1_i1.p1, Mcav_11604_c7_g1_i2.p1, Mcav_11604_c8_g1_i2.p1"
OG0003469,Mcav_19158_c2_g1_i2.p1
OG0003470,"Mcav_38474_c0_g1_i2.p1, Mcav_38489_c1_g1_i2.p1"
OG0003471,"Mcav_24460_c11_g1_i1.p1, Mcav_24460_c16_g1_i8.p1"
OG0003472,"Mcav_17760_c56_g1_i1.p1, Mcav_17760_c97_g1_i1.p1, Mcav_17760_c97_g1_i2.p1"
OG0003473,"Mcav_36654_c4_g1_i3.p1, Mcav_36654_c4_g1_i4.p1"
OG0003474,"Mcav_50392_c12_g1_i2.p1, Mcav_5054_c0_g1_i3.p1"
OG0003475,"Mcav_51671_c8_g1_i1.p1, Mcav_51671_c8_g1_i2.p1"
OG0003476,Mcav_34197_c12_g1_i1.p1
OG0003477,Mcav_37218_c1_g1_i1.p1
OG0003478,"Mcav_57385_c1_g1_i1.p1, Mcav_58952_c0_g1_i1.p1"
OG0003479,
OG0003480,"Mcav_13139_c2_g1_i1.p1, Mcav_34409_c0_g1_i1.p1, Mcav_37183_c0_g1_i1.p1"
OG0003481,"Mcav_50223_c0_g1_i1.p1, Mcav_50223_c1_g1_i1.p1, Mcav_50223_c2_g1_i2.p1, Mcav_50238_c0_g1_i1.p1, Mcav_50238_c1_g1_i1.p1"
OG0003482,Mcav_36900_c2_g1_i1.p1
OG0003483,Mcav_1241_c8_g1_i2.p1
OG0003484,Mcav_7515_c3_g1_i2.p1
OG0003485,"Mcav_45167_c1_g1_i1.p1, Mcav_45170_c5_g1_i5.p1"
OG0003486,
OG0003487,"Mcav_22673_c10_g1_i1.p1, Mcav_22673_c10_g1_i2.p3"
OG0003488,Mcav_36750_c3_g1_i2.p1
OG0003489,"Mcav_40144_c10_g1_i1.p1, Mcav_40144_c10_g2_i4.p1"
OG0003490,"Mcav_14380_c1_g1_i1.p1, Mcav_47967_c64_g1_i1.p1, Mcav_55799_c11_g1_i1.p1, Mcav_55799_c11_g2_i1.p1"
OG0003491,Mcav_46908_c10_g1_i2.p1
OG0003492,Mcav_15029_c72_g1_i1.p1
OG0003493,"Mcav_52255_c2_g1_i1.p1, Mcav_52255_c2_g2_i1.p1, Mcav_52255_c2_g2_i2.p1"
OG0003494,"Mcav_41768_c8_g1_i1.p1, Mcav_41768_c9_g1_i1.p2"
OG0003495,"Mcav_34921_c19_g1_i2.p1, Mcav_34921_c19_g1_i3.p1, Mcav_34933_c0_g1_i1.p1"
OG0003496,"Mcav_25310_c5_g1_i1.p1, Mcav_25310_c6_g2_i3.p1"
OG0003497,Mcav_26513_c8_g1_i1.p1
OG0003498,"Mcav_37056_c3_g1_i2.p1, Mcav_37056_c3_g1_i3.p1"
OG0003499,"Mcav_41841_c19_g1_i1.p1, Mcav_41841_c24_g1_i4.p1"
OG0003500,"Mcav_18376_c52_g1_i1.p1, Mcav_18376_c65_g3_i1.p1"
OG0003501,"Mcav_47128_c3_g1_i1.p1, Mcav_49232_c4_g1_i1.p1"
OG0003502,"Mcav_60133_c7_g1_i1.p1, Mcav_60133_c7_g1_i2.p1, Mcav_60133_c9_g1_i1.p2"
OG0003503,"Mcav_20598_c1_g1_i2.p1, Mcav_52769_c0_g1_i1.p1, Mcav_777_c0_g1_i1.p1"
OG0003504,Mcav_35946_c0_g1_i1.p1
OG0003505,Mcav_15014_c4_g2_i1.p1
OG0003506,Mcav_45037_c2_g1_i1.p1
OG0003507,Mcav_32724_c0_g1_i1.p1
OG0003508,Mcav_43423_c0_g1_i1.p1
OG0003509,"Mcav_29201_c5_g1_i1.p1, Mcav_29204_c1_g1_i1.p1, Mcav_4674_c2_g1_i1.p1, Mcav_4674_c2_g1_i2.p1"
OG0003510,"Mcav_32760_c8_g1_i2.p1, Mcav_32760_c9_g1_i1.p1"
OG0003511,"Mcav_33317_c8_g1_i1.p1, Mcav_33319_c0_g1_i1.p1"
OG0003512,"Mcav_12400_c15_g1_i1.p1, Mcav_12400_c15_g1_i2.p2"
OG0003513,"Mcav_27404_c7_g1_i1.p1, Mcav_27404_c8_g1_i4.p1"
OG0003514,Mcav_4816_c12_g1_i2.p1
OG0003515,Mcav_9357_c1_g1_i2.p1
OG0003516,"Mcav_17782_c0_g1_i1.p1, Mcav_17789_c2_g1_i1.p1"
OG0003517,"Mcav_4365_c5_g1_i1.p1, Mcav_4365_c5_g1_i2.p1, Mcav_49601_c115_g1_i1.p2"
OG0003518,Mcav_33411_c13_g1_i2.p1
OG0003519,"Mcav_23021_c65_g1_i1.p1, Mcav_23021_c66_g1_i1.p1"
OG0003520,"Mcav_12225_c17_g1_i3.p1, Mcav_14956_c5_g1_i1.p1"
OG0003521,"Mcav_9879_c0_g1_i2.p1, Mcav_9889_c1_g2_i1.p1"
OG0003522,"Mcav_56805_c4_g1_i2.p1, Mcav_56805_c6_g1_i1.p1"
OG0003523,"Mcav_49601_c106_g1_i6.p1, Mcav_49601_c106_g1_i8.p1"
OG0003524,"Mcav_16700_c4_g1_i1.p1, Mcav_16710_c0_g1_i1.p1"
OG0003525,"Mcav_58463_c9_g1_i1.p1, Mcav_58463_c9_g1_i4.p2"
OG0003526,"Mcav_42809_c0_g1_i2.p1, Mcav_56724_c4_g1_i1.p1"
OG0003527,Mcav_38781_c1_g1_i1.p1
OG0003528,"Mcav_10604_c16_g1_i3.p2, Mcav_57087_c1_g1_i1.p2, Mcav_57087_c1_g1_i3.p2"
OG0003529,"Mcav_489_c109_g1_i1.p1, Mcav_489_c123_g1_i1.p1"
OG0003530,Mcav_43648_c0_g1_i1.p1
OG0003531,"Mcav_21901_c3_g1_i1.p1, Mcav_21901_c3_g1_i2.p1"
OG0003532,Mcav_39835_c1_g1_i2.p1
OG0003533,"Mcav_18248_c9_g3_i1.p1, Mcav_32332_c10_g1_i1.p2, Mcav_32332_c10_g1_i4.p1, Mcav_32332_c10_g1_i9.p3, Mcav_48618_c20_g2_i1.p1"
OG0003534,"Mcav_42556_c0_g1_i1.p1, Mcav_50640_c0_g1_i2.p1"
OG0003535,Mcav_34021_c47_g1_i1.p1
OG0003536,Mcav_26432_c1_g1_i1.p1
OG0003537,"Mcav_25462_c18_g1_i1.p1, Mcav_52337_c16_g1_i4.p1"
OG0003538,Mcav_40441_c2_g2_i2.p1
OG0003539,"Mcav_60143_c3_g1_i1.p1, Mcav_60155_c1_g1_i1.p1"
OG0003540,"Mcav_44686_c4_g1_i1.p1, Mcav_44686_c8_g2_i2.p1"
OG0003541,"Mcav_30176_c0_g1_i1.p1, Mcav_30195_c0_g1_i1.p1, Mcav_30199_c3_g1_i1.p1"
OG0003542,"Mcav_12575_c5_g1_i2.p1, Mcav_12575_c6_g1_i1.p1"
OG0003543,"Mcav_41130_c52_g1_i1.p1, Mcav_41164_c0_g1_i1.p1"
OG0003544,"Mcav_59663_c22_g1_i1.p2, Mcav_59668_c0_g1_i1.p1"
OG0003545,"Mcav_39779_c2_g1_i2.p1, Mcav_39794_c11_g1_i1.p1"
OG0003546,Mcav_26594_c5_g1_i1.p1
OG0003547,"Mcav_7559_c54_g1_i1.p1, Mcav_7559_c54_g1_i2.p1"
OG0003548,"Mcav_5156_c5_g1_i2.p1, Mcav_5160_c5_g1_i1.p1"
OG0003549,"Mcav_39169_c1_g1_i1.p1, Mcav_49166_c8_g1_i1.p1, Mcav_49166_c8_g1_i3.p1"
OG0003550,"Mcav_51166_c3_g1_i1.p1, Mcav_51166_c5_g1_i2.p1"
OG0003551,"Mcav_2831_c2_g3_i6.p1, Mcav_2831_c2_g3_i8.p1, Mcav_33164_c3_g1_i2.p1"
OG0003552,Mcav_54169_c105_g1_i3.p1
OG0003553,"Mcav_62095_c0_g1_i2.p1, Mcav_62107_c0_g1_i1.p1"
OG0003554,Mcav_52272_c0_g2_i1.p1
OG0003555,Mcav_55208_c1_g1_i1.p1
OG0003556,"Mcav_29703_c0_g1_i1.p1, Mcav_29703_c0_g1_i2.p1"
OG0003557,Mcav_14817_c14_g1_i2.p2
OG0003558,Mcav_60133_c9_g1_i1.p1
OG0003559,Mcav_15053_c1_g1_i1.p1
OG0003560,Mcav_30376_c7_g2_i7.p1
OG0003561,"Mcav_36863_c28_g1_i3.p1, Mcav_36863_c28_g1_i4.p1"
OG0003562,Mcav_53474_c5_g1_i1.p1
OG0003563,"Mcav_11976_c0_g1_i1.p1, Mcav_55610_c5_g1_i1.p1, Mcav_55610_c5_g1_i3.p1"
OG0003564,Mcav_38710_c0_g1_i2.p1
OG0003565,"Mcav_57481_c8_g1_i1.p1, Mcav_57481_c8_g1_i1.p2"
OG0003566,Mcav_27263_c11_g1_i2.p1
OG0003567,Mcav_31516_c5_g1_i1.p1
OG0003568,"Mcav_12967_c4_g1_i1.p1, Mcav_12967_c4_g1_i2.p2"
