OG,Ssid_longest_proteome
OG0000925,Ssid_DN261823_c0_seq2.p1
OG0000926,
OG0000927,"Ssid_DN255165_c0_seq1.p1, Ssid_DN263310_c0_seq1.p1, Ssid_DN275720_c0_seq1.p1"
OG0000928,"Ssid_DN211583_c0_seq1.p1, Ssid_DN242667_c0_seq2.p1, Ssid_DN254074_c0_seq7.p1, Ssid_DN254330_c0_seq1.p1"
OG0000929,Ssid_DN249445_c0_seq1.p1
OG0000930,
OG0000931,
OG0000932,
OG0000933,"Ssid_DN228214_c0_seq1.p1, Ssid_DN262094_c0_seq7.p1, Ssid_DN262762_c1_seq1.p2"
OG0000934,
OG0000935,
OG0000936,
OG0000937,Ssid_DN249208_c0_seq3.p1
OG0000938,"Ssid_DN252403_c0_seq6.p1, Ssid_DN252403_c0_seq6.p3"
OG0000939,"Ssid_DN259299_c0_seq3.p1, Ssid_DN263697_c3_seq1.p1"
OG0000940,
OG0000941,Ssid_DN96821_c0_seq1.p1
OG0000942,Ssid_DN257263_c0_seq5.p1
OG0000943,Ssid_DN259824_c1_seq1.p1
OG0000944,
OG0000945,"Ssid_DN153891_c0_seq2.p1, Ssid_DN257143_c3_seq6.p1"
OG0000946,
OG0000947,"Ssid_DN228773_c0_seq1.p1, Ssid_DN246450_c0_seq1.p1"
OG0000948,
OG0000949,"Ssid_DN214539_c0_seq1.p1, Ssid_DN249329_c0_seq9.p1"
OG0000950,"Ssid_DN225395_c0_seq2.p1, Ssid_DN245320_c0_seq2.p1"
OG0000951,"Ssid_DN248583_c0_seq1.p1, Ssid_DN259536_c0_seq2.p1, Ssid_DN262998_c0_seq1.p1"
OG0000952,
OG0000953,
OG0000954,Ssid_DN235023_c0_seq1.p1
OG0000955,
OG0000956,"Ssid_DN250413_c0_seq4.p1, Ssid_DN251669_c0_seq4.p1, Ssid_DN251721_c2_seq2.p1"
OG0000957,Ssid_DN234806_c0_seq9.p1
OG0000958,
OG0000959,"Ssid_DN238370_c0_seq1.p1, Ssid_DN261440_c1_seq5.p1"
OG0000960,Ssid_DN257698_c0_seq2.p1
OG0000961,"Ssid_DN228218_c0_seq1.p1, Ssid_DN244252_c0_seq4.p1, Ssid_DN252714_c0_seq1.p2, Ssid_DN252714_c0_seq1.p3, Ssid_DN262405_c0_seq1.p1"
OG0000962,"Ssid_DN211877_c0_seq1.p1, Ssid_DN245473_c0_seq1.p2, Ssid_DN253346_c0_seq1.p1"
OG0000963,"Ssid_DN128560_c0_seq1.p1, Ssid_DN204210_c0_seq1.p1, Ssid_DN214915_c0_seq1.p1, Ssid_DN217362_c0_seq3.p1, Ssid_DN228198_c0_seq1.p1, Ssid_DN437955_c0_seq1.p1, Ssid_DN89091_c0_seq1.p1"
OG0000964,"Ssid_DN221322_c0_seq1.p1, Ssid_DN231349_c0_seq1.p1, Ssid_DN242830_c0_seq1.p1"
OG0000965,Ssid_DN216425_c0_seq1.p1
OG0000966,"Ssid_DN178374_c0_seq1.p1, Ssid_DN219720_c0_seq1.p1, Ssid_DN237511_c0_seq4.p1, Ssid_DN239871_c0_seq1.p1"
OG0000967,"Ssid_DN252922_c0_seq2.p1, Ssid_DN252922_c0_seq2.p2, Ssid_DN254724_c1_seq3.p1"
OG0000968,"Ssid_DN159296_c0_seq2.p1, Ssid_DN241213_c0_seq5.p1"
OG0000969,Ssid_DN262119_c0_seq10.p1
OG0000970,"Ssid_DN252189_c1_seq1.p1, Ssid_DN253901_c0_seq1.p1, Ssid_DN255167_c0_seq8.p1, Ssid_DN255304_c0_seq1.p1"
OG0000971,Ssid_DN257325_c0_seq29.p1
OG0000972,Ssid_DN249270_c0_seq1.p1
OG0000973,
OG0000974,
OG0000975,"Ssid_DN246834_c0_seq1.p1, Ssid_DN261475_c2_seq4.p1, Ssid_DN261475_c2_seq4.p2"
OG0000976,"Ssid_DN187923_c0_seq1.p1, Ssid_DN220305_c0_seq1.p1"
OG0000977,Ssid_DN221240_c0_seq7.p1
OG0000978,"Ssid_DN252688_c1_seq1.p1, Ssid_DN263271_c0_seq4.p1"
OG0000979,"Ssid_DN223830_c1_seq1.p1, Ssid_DN231111_c0_seq1.p1"
OG0000980,
OG0000981,"Ssid_DN221808_c0_seq2.p1, Ssid_DN236672_c0_seq2.p1, Ssid_DN244974_c0_seq1.p2, Ssid_DN252636_c0_seq6.p2, Ssid_DN253709_c1_seq23.p3, Ssid_DN261815_c1_seq4.p1"
OG0000982,
OG0000983,"Ssid_DN249796_c0_seq1.p1, Ssid_DN249796_c0_seq1.p2, Ssid_DN251125_c0_seq1.p1"
OG0000984,"Ssid_DN251606_c0_seq1.p1, Ssid_DN251606_c0_seq1.p2, Ssid_DN259436_c0_seq2.p1, Ssid_DN262107_c0_seq1.p1"
OG0000985,"Ssid_DN190364_c0_seq6.p1, Ssid_DN99799_c0_seq1.p1"
OG0000986,"Ssid_DN256289_c0_seq1.p1, Ssid_DN261573_c0_seq1.p1"
OG0000987,"Ssid_DN226069_c0_seq1.p1, Ssid_DN258526_c0_seq1.p1"
OG0000988,"Ssid_DN210551_c0_seq2.p1, Ssid_DN255258_c0_seq1.p1, Ssid_DN263112_c1_seq1.p1"
OG0000989,"Ssid_DN237341_c0_seq2.p1, Ssid_DN249744_c1_seq3.p1, Ssid_DN256337_c0_seq9.p3, Ssid_DN257731_c0_seq1.p1, Ssid_DN257731_c0_seq1.p2"
OG0000990,"Ssid_DN255579_c0_seq1.p1, Ssid_DN262201_c0_seq2.p1"
OG0000991,"Ssid_DN233654_c0_seq4.p4, Ssid_DN245868_c0_seq1.p1, Ssid_DN246529_c0_seq2.p1, Ssid_DN254386_c0_seq1.p1, Ssid_DN340008_c0_seq1.p1"
OG0000992,"Ssid_DN244055_c0_seq1.p2, Ssid_DN257360_c0_seq2.p1, Ssid_DN258914_c0_seq8.p1, Ssid_DN259340_c0_seq1.p1"
OG0000993,"Ssid_DN243345_c0_seq1.p1, Ssid_DN252635_c0_seq4.p1"
OG0000994,"Ssid_DN192005_c0_seq1.p1, Ssid_DN250110_c0_seq1.p1, Ssid_DN257882_c2_seq11.p1, Ssid_DN257882_c2_seq11.p3, Ssid_DN260466_c0_seq2.p1, Ssid_DN260466_c0_seq2.p2"
OG0000995,
OG0000996,"Ssid_DN238043_c0_seq1.p1, Ssid_DN252868_c1_seq1.p1"
OG0000997,
OG0000998,
OG0000999,Ssid_DN193681_c0_seq1.p1
OG0001000,
OG0001001,"Ssid_DN176190_c0_seq1.p1, Ssid_DN188464_c0_seq1.p1, Ssid_DN228115_c0_seq1.p1, Ssid_DN243340_c0_seq1.p1, Ssid_DN254300_c0_seq1.p1, Ssid_DN258815_c1_seq5.p1, Ssid_DN263073_c0_seq1.p2, Ssid_DN263801_c0_seq1.p1"
OG0001002,"Ssid_DN254800_c0_seq3.p1, Ssid_DN254800_c0_seq3.p2, Ssid_DN255111_c1_seq2.p1, Ssid_DN255111_c1_seq2.p2, Ssid_DN260897_c0_seq13.p1, Ssid_DN260897_c0_seq13.p2"
OG0001003,"Ssid_DN223378_c0_seq1.p1, Ssid_DN243616_c0_seq1.p1, Ssid_DN337659_c0_seq1.p1"
OG0001004,
OG0001005,Ssid_DN234408_c0_seq1.p1
OG0001006,"Ssid_DN231717_c0_seq2.p1, Ssid_DN236614_c0_seq1.p1, Ssid_DN245743_c0_seq1.p1, Ssid_DN259443_c0_seq1.p1, Ssid_DN404630_c0_seq1.p1"
OG0001007,"Ssid_DN111013_c0_seq1.p1, Ssid_DN251115_c0_seq2.p1, Ssid_DN353316_c0_seq1.p1"
OG0001008,
OG0001009,
OG0001010,
OG0001011,
OG0001012,Ssid_DN165855_c0_seq1.p1
OG0001013,
OG0001014,
OG0001015,Ssid_DN254360_c1_seq2.p1
OG0001016,
OG0001017,
OG0001018,
OG0001019,Ssid_DN252575_c2_seq1.p1
OG0001020,Ssid_DN65070_c0_seq1.p1
OG0001021,Ssid_DN159690_c0_seq1.p1
OG0001022,
OG0001023,
OG0001024,
OG0001025,"Ssid_DN262989_c0_seq1.p1, Ssid_DN263479_c1_seq3.p1, Ssid_DN263575_c0_seq4.p1"
OG0001026,"Ssid_DN238238_c0_seq2.p1, Ssid_DN277116_c0_seq1.p1"
OG0001027,
OG0001028,"Ssid_DN251345_c0_seq1.p1, Ssid_DN288439_c0_seq1.p1, Ssid_DN352296_c0_seq1.p1"
OG0001029,
OG0001030,"Ssid_DN237077_c0_seq1.p1, Ssid_DN257995_c0_seq1.p1, Ssid_DN257995_c0_seq1.p3, Ssid_DN79711_c0_seq1.p1"
OG0001031,
OG0001032,
OG0001033,"Ssid_DN235261_c0_seq1.p1, Ssid_DN247374_c0_seq2.p1, Ssid_DN247374_c0_seq2.p2, Ssid_DN254367_c1_seq2.p1"
OG0001034,"Ssid_DN255480_c1_seq1.p1, Ssid_DN259811_c0_seq1.p1, Ssid_DN259811_c0_seq1.p2"
OG0001035,"Ssid_DN252902_c0_seq3.p1, Ssid_DN258784_c0_seq1.p1, Ssid_DN258784_c1_seq1.p1"
OG0001036,
OG0001037,
OG0001038,
OG0001039,Ssid_DN26007_c0_seq1.p1
OG0001040,"Ssid_DN247038_c0_seq3.p1, Ssid_DN254121_c0_seq1.p1"
OG0001041,"Ssid_DN229573_c0_seq1.p1, Ssid_DN253403_c0_seq1.p1"
OG0001042,
OG0001043,"Ssid_DN258421_c0_seq2.p1, Ssid_DN258421_c0_seq2.p2, Ssid_DN260587_c0_seq1.p1"
OG0001044,Ssid_DN245424_c0_seq1.p1
OG0001045,"Ssid_DN246829_c0_seq1.p1, Ssid_DN253930_c1_seq1.p1"
OG0001046,Ssid_DN313500_c0_seq1.p1
OG0001047,Ssid_DN264809_c0_seq1.p1
OG0001048,
OG0001049,
OG0001050,"Ssid_DN238870_c0_seq5.p1, Ssid_DN250116_c0_seq12.p1"
OG0001051,"Ssid_DN144191_c0_seq1.p1, Ssid_DN227866_c0_seq1.p2, Ssid_DN228471_c0_seq2.p1, Ssid_DN256423_c0_seq1.p1, Ssid_DN257493_c0_seq10.p1, Ssid_DN262580_c0_seq4.p5"
OG0001052,Ssid_DN259552_c0_seq5.p1
OG0001053,
OG0001054,"Ssid_DN235114_c0_seq1.p1, Ssid_DN246555_c0_seq2.p1, Ssid_DN249005_c0_seq1.p1, Ssid_DN255651_c0_seq2.p1, Ssid_DN255651_c0_seq2.p5"
OG0001055,Ssid_DN395565_c0_seq1.p1
OG0001056,Ssid_DN221750_c0_seq1.p1
OG0001057,"Ssid_DN251833_c0_seq5.p1, Ssid_DN319361_c0_seq1.p1"
OG0001058,Ssid_DN248425_c0_seq1.p1
OG0001059,"Ssid_DN415746_c0_seq1.p1, Ssid_DN96204_c0_seq1.p1"
OG0001060,"Ssid_DN156481_c0_seq1.p2, Ssid_DN233825_c0_seq1.p3, Ssid_DN236840_c0_seq1.p1, Ssid_DN254415_c0_seq4.p2, Ssid_DN261505_c0_seq8.p1, Ssid_DN342775_c0_seq1.p1"
OG0001061,
OG0001062,Ssid_DN94715_c0_seq1.p1
OG0001063,"Ssid_DN127955_c0_seq2.p1, Ssid_DN243123_c0_seq1.p2, Ssid_DN84686_c0_seq1.p1"
OG0001064,Ssid_DN242984_c0_seq3.p1
OG0001065,"Ssid_DN210192_c0_seq2.p1, Ssid_DN247055_c0_seq16.p1"
OG0001066,
OG0001067,"Ssid_DN219384_c0_seq2.p1, Ssid_DN253767_c0_seq2.p1, Ssid_DN259605_c0_seq1.p1, Ssid_DN64758_c0_seq1.p1"
OG0001068,
OG0001069,
OG0001070,"Ssid_DN238109_c0_seq1.p1, Ssid_DN245050_c0_seq1.p2, Ssid_DN251062_c0_seq14.p2, Ssid_DN252427_c0_seq3.p1"
OG0001071,"Ssid_DN263476_c0_seq5.p1, Ssid_DN465621_c0_seq1.p1"
OG0001072,"Ssid_DN239020_c0_seq3.p1, Ssid_DN254647_c0_seq4.p1, Ssid_DN256206_c0_seq1.p1"
OG0001073,"Ssid_DN137326_c0_seq1.p1, Ssid_DN238208_c0_seq1.p1, Ssid_DN257993_c0_seq28.p1, Ssid_DN342183_c0_seq1.p1"
OG0001074,
OG0001075,Ssid_DN255598_c0_seq1.p1
OG0001076,
OG0001077,
OG0001078,"Ssid_DN291208_c0_seq1.p1, Ssid_DN78001_c0_seq1.p1"
OG0001079,Ssid_DN260657_c0_seq12.p2
OG0001080,
OG0001081,
OG0001082,Ssid_DN339010_c0_seq1.p1
OG0001083,Ssid_DN255775_c0_seq2.p1
OG0001084,
OG0001085,
OG0001086,
OG0001087,
OG0001088,
OG0001089,"Ssid_DN205231_c0_seq2.p1, Ssid_DN312898_c0_seq1.p1"
OG0001090,"Ssid_DN249192_c1_seq1.p1, Ssid_DN254543_c0_seq3.p1, Ssid_DN438296_c0_seq1.p1"
OG0001091,
OG0001092,
OG0001093,"Ssid_DN259515_c0_seq7.p1, Ssid_DN259515_c0_seq7.p3, Ssid_DN259515_c0_seq7.p4"
OG0001094,
OG0001095,"Ssid_DN235283_c0_seq2.p1, Ssid_DN253918_c1_seq1.p1, Ssid_DN263709_c0_seq2.p1"
OG0001096,"Ssid_DN253744_c0_seq12.p2, Ssid_DN258980_c0_seq5.p1"
OG0001097,"Ssid_DN255807_c0_seq3.p1, Ssid_DN257028_c0_seq1.p1"
OG0001098,"Ssid_DN248097_c0_seq1.p3, Ssid_DN262611_c0_seq1.p1"
OG0001099,
OG0001100,
OG0001101,"Ssid_DN256979_c0_seq3.p1, Ssid_DN262838_c1_seq1.p1"
OG0001102,"Ssid_DN255311_c0_seq1.p1, Ssid_DN259646_c0_seq3.p2, Ssid_DN263657_c0_seq2.p2"
OG0001103,Ssid_DN227795_c0_seq2.p1
OG0001104,
OG0001105,Ssid_DN262221_c1_seq1.p2
OG0001106,"Ssid_DN250255_c0_seq5.p2, Ssid_DN262735_c0_seq3.p1"
OG0001107,"Ssid_DN218450_c0_seq2.p1, Ssid_DN256094_c0_seq5.p1"
OG0001108,"Ssid_DN152481_c0_seq1.p1, Ssid_DN242417_c0_seq2.p1, Ssid_DN245114_c0_seq1.p1, Ssid_DN254392_c0_seq2.p2, Ssid_DN259535_c1_seq2.p1"
OG0001109,"Ssid_DN232500_c0_seq1.p1, Ssid_DN255031_c0_seq3.p1, Ssid_DN260069_c0_seq6.p1, Ssid_DN263533_c0_seq2.p1"
OG0001110,"Ssid_DN166442_c0_seq4.p1, Ssid_DN166844_c0_seq1.p1, Ssid_DN211626_c0_seq2.p1, Ssid_DN224229_c0_seq2.p1, Ssid_DN247453_c0_seq2.p2"
OG0001111,Ssid_DN259343_c1_seq5.p2
OG0001112,"Ssid_DN155089_c0_seq3.p2, Ssid_DN243619_c1_seq20.p1"
OG0001113,"Ssid_DN226265_c1_seq1.p1, Ssid_DN227096_c0_seq3.p1, Ssid_DN246006_c0_seq12.p1"
OG0001114,"Ssid_DN238339_c1_seq4.p1, Ssid_DN247674_c0_seq1.p1, Ssid_DN255234_c0_seq1.p1"
OG0001115,Ssid_DN261045_c0_seq1.p2
OG0001116,Ssid_DN259742_c1_seq7.p3
OG0001117,
OG0001118,"Ssid_DN187360_c0_seq1.p1, Ssid_DN250205_c0_seq1.p1, Ssid_DN252816_c0_seq1.p2, Ssid_DN260506_c0_seq3.p1, Ssid_DN262318_c0_seq7.p3, Ssid_DN262688_c0_seq1.p3"
OG0001119,Ssid_DN238930_c0_seq1.p1
OG0001120,Ssid_DN263721_c0_seq4.p3
OG0001121,"Ssid_DN245204_c0_seq4.p2, Ssid_DN253092_c0_seq1.p1"
OG0001122,Ssid_DN263467_c1_seq6.p1
OG0001123,"Ssid_DN223245_c0_seq3.p1, Ssid_DN224249_c0_seq1.p1, Ssid_DN231974_c0_seq5.p1"
OG0001124,"Ssid_DN11820_c0_seq1.p1, Ssid_DN249798_c0_seq10.p1, Ssid_DN262020_c2_seq3.p1, Ssid_DN263188_c0_seq10.p1"
OG0001125,Ssid_DN277541_c0_seq1.p1
OG0001126,"Ssid_DN243357_c0_seq3.p1, Ssid_DN248864_c0_seq3.p1, Ssid_DN378904_c0_seq1.p1"
OG0001127,"Ssid_DN248325_c0_seq6.p1, Ssid_DN252385_c0_seq2.p1, Ssid_DN257222_c0_seq4.p2"
OG0001128,"Ssid_DN194164_c0_seq1.p1, Ssid_DN209770_c0_seq1.p1, Ssid_DN253931_c0_seq15.p1"
OG0001129,Ssid_DN262451_c0_seq1.p1
OG0001130,"Ssid_DN250333_c0_seq10.p2, Ssid_DN253632_c0_seq10.p2, Ssid_DN258116_c0_seq14.p1, Ssid_DN260166_c0_seq12.p1, Ssid_DN261045_c0_seq1.p1, Ssid_DN263101_c1_seq2.p5"
OG0001131,Ssid_DN240611_c0_seq2.p1
OG0001132,Ssid_DN259245_c0_seq4.p1
OG0001133,"Ssid_DN252580_c0_seq1.p1, Ssid_DN257191_c0_seq18.p1, Ssid_DN262128_c0_seq1.p1"
OG0001134,"Ssid_DN216954_c0_seq1.p1, Ssid_DN248981_c0_seq1.p1, Ssid_DN252281_c0_seq1.p1"
OG0001135,"Ssid_DN248881_c0_seq4.p1, Ssid_DN253508_c0_seq14.p1, Ssid_DN253508_c0_seq14.p4, Ssid_DN260009_c0_seq1.p1"
OG0001136,"Ssid_DN243777_c0_seq5.p1, Ssid_DN263405_c1_seq4.p1"
OG0001137,Ssid_DN251845_c0_seq1.p1
OG0001138,Ssid_DN243891_c0_seq1.p1
OG0001139,"Ssid_DN240928_c1_seq4.p1, Ssid_DN257547_c0_seq1.p1, Ssid_DN257547_c1_seq1.p1, Ssid_DN257616_c0_seq23.p2"
OG0001140,
OG0001141,"Ssid_DN250788_c0_seq1.p1, Ssid_DN262912_c0_seq3.p1, Ssid_DN262912_c0_seq3.p2"
OG0001142,Ssid_DN263764_c0_seq5.p1
OG0001143,Ssid_DN287213_c0_seq1.p1
OG0001144,
OG0001145,"Ssid_DN126790_c0_seq1.p2, Ssid_DN256899_c0_seq2.p2, Ssid_DN256914_c0_seq2.p1"
OG0001146,"Ssid_DN261726_c0_seq2.p1, Ssid_DN261726_c1_seq2.p2, Ssid_DN443547_c0_seq1.p1"
OG0001147,"Ssid_DN241117_c0_seq4.p1, Ssid_DN256993_c0_seq6.p1"
OG0001148,"Ssid_DN245039_c0_seq1.p1, Ssid_DN257315_c0_seq1.p1, Ssid_DN68514_c0_seq1.p1"
OG0001149,Ssid_DN257247_c0_seq4.p1
OG0001150,Ssid_DN261499_c0_seq4.p1
OG0001151,Ssid_DN212147_c0_seq4.p2
OG0001152,"Ssid_DN241952_c0_seq1.p1, Ssid_DN258662_c0_seq3.p2"
OG0001153,
OG0001154,Ssid_DN357486_c0_seq1.p1
OG0001155,
OG0001156,"Ssid_DN247161_c0_seq1.p1, Ssid_DN259129_c0_seq1.p1, Ssid_DN262321_c1_seq1.p1"
OG0001157,"Ssid_DN195980_c0_seq2.p1, Ssid_DN231037_c0_seq1.p1, Ssid_DN247103_c0_seq7.p1, Ssid_DN260034_c0_seq1.p1"
OG0001158,"Ssid_DN237405_c0_seq1.p1, Ssid_DN262674_c0_seq1.p1, Ssid_DN262674_c0_seq1.p2"
OG0001159,Ssid_DN261658_c0_seq1.p1
OG0001160,Ssid_DN347_c0_seq3.p1
OG0001161,
OG0001162,"Ssid_DN261390_c1_seq1.p1, Ssid_DN261708_c0_seq1.p1, Ssid_DN382737_c0_seq1.p1"
OG0001163,
OG0001164,"Ssid_DN232530_c0_seq1.p1, Ssid_DN260083_c0_seq5.p1, Ssid_DN263218_c0_seq4.p1"
OG0001165,"Ssid_DN253959_c0_seq1.p1, Ssid_DN263777_c0_seq2.p1"
OG0001166,
OG0001167,"Ssid_DN294811_c0_seq1.p1, Ssid_DN298957_c0_seq1.p1"
OG0001168,Ssid_DN239993_c0_seq1.p2
OG0001169,
OG0001170,
OG0001171,
OG0001172,
OG0001173,Ssid_DN261285_c1_seq2.p1
OG0001174,Ssid_DN254783_c0_seq1.p1
OG0001175,
OG0001176,
OG0001177,
OG0001178,"Ssid_DN237156_c0_seq4.p1, Ssid_DN237156_c0_seq4.p2"
OG0001179,
OG0001180,"Ssid_DN257322_c2_seq3.p1, Ssid_DN257322_c2_seq3.p2"
OG0001181,"Ssid_DN257839_c0_seq2.p1, Ssid_DN257839_c0_seq2.p2"
OG0001182,Ssid_DN211993_c0_seq1.p1
OG0001183,Ssid_DN254802_c1_seq7.p1
OG0001184,"Ssid_DN382922_c0_seq1.p1, Ssid_DN432645_c0_seq1.p1, Ssid_DN445963_c0_seq1.p1"
OG0001185,"Ssid_DN246608_c0_seq1.p1, Ssid_DN261217_c0_seq1.p2"
OG0001186,"Ssid_DN163402_c0_seq1.p1, Ssid_DN262284_c0_seq1.p1, Ssid_DN262284_c1_seq1.p1, Ssid_DN262284_c1_seq1.p2"
OG0001187,
OG0001188,Ssid_DN282020_c0_seq1.p1
OG0001189,
OG0001190,Ssid_DN27339_c0_seq1.p1
OG0001191,
OG0001192,Ssid_DN258540_c0_seq1.p1
OG0001193,"Ssid_DN215647_c0_seq1.p1, Ssid_DN225034_c0_seq1.p1, Ssid_DN230882_c0_seq1.p1, Ssid_DN259530_c1_seq2.p1, Ssid_DN59829_c0_seq1.p1"
OG0001194,
OG0001195,
OG0001196,"Ssid_DN257224_c0_seq1.p2, Ssid_DN258853_c0_seq2.p2, Ssid_DN261491_c1_seq2.p1"
OG0001197,
OG0001198,"Ssid_DN222726_c0_seq1.p1, Ssid_DN257350_c0_seq2.p1, Ssid_DN257350_c0_seq2.p2, Ssid_DN259963_c1_seq2.p1"
OG0001199,
OG0001200,Ssid_DN260124_c0_seq1.p1
OG0001201,"Ssid_DN238011_c0_seq3.p1, Ssid_DN252419_c0_seq1.p1, Ssid_DN256670_c0_seq1.p1"
OG0001202,Ssid_DN246121_c0_seq1.p1
OG0001203,"Ssid_DN192348_c0_seq1.p1, Ssid_DN254725_c0_seq1.p1, Ssid_DN263469_c0_seq1.p1"
OG0001204,Ssid_DN209919_c0_seq1.p1
OG0001205,"Ssid_DN258436_c0_seq2.p1, Ssid_DN258436_c0_seq2.p3"
OG0001206,Ssid_DN235405_c0_seq12.p1
OG0001207,"Ssid_DN174760_c0_seq1.p1, Ssid_DN248097_c0_seq1.p1"
OG0001208,
OG0001209,Ssid_DN240015_c0_seq1.p1
OG0001210,"Ssid_DN226492_c0_seq1.p1, Ssid_DN241091_c0_seq1.p1, Ssid_DN247344_c1_seq1.p1, Ssid_DN260732_c0_seq5.p2"
OG0001211,
OG0001212,Ssid_DN258728_c0_seq2.p2
OG0001213,
OG0001214,
OG0001215,
OG0001216,Ssid_DN299113_c0_seq1.p1
OG0001217,Ssid_DN239220_c0_seq4.p1
OG0001218,
OG0001219,
OG0001220,
OG0001221,"Ssid_DN154331_c0_seq1.p1, Ssid_DN260036_c0_seq99.p2, Ssid_DN260036_c0_seq99.p4"
OG0001222,"Ssid_DN204751_c0_seq1.p1, Ssid_DN251194_c0_seq1.p1, Ssid_DN374432_c0_seq1.p1"
OG0001223,"Ssid_DN258414_c0_seq3.p1, Ssid_DN260926_c1_seq1.p1, Ssid_DN260926_c1_seq1.p2"
OG0001224,
OG0001225,
OG0001226,
OG0001227,Ssid_DN246611_c0_seq1.p1
OG0001228,"Ssid_DN158916_c0_seq2.p1, Ssid_DN215954_c0_seq2.p1, Ssid_DN256448_c0_seq1.p1, Ssid_DN256448_c1_seq1.p1, Ssid_DN256650_c0_seq1.p1, Ssid_DN424317_c0_seq1.p1"
OG0001229,Ssid_DN307528_c0_seq1.p1
OG0001230,"Ssid_DN262539_c1_seq1.p1, Ssid_DN286492_c0_seq1.p1"
OG0001231,
OG0001232,
OG0001233,
OG0001234,
OG0001235,
OG0001236,Ssid_DN256117_c0_seq6.p2
OG0001237,
OG0001238,"Ssid_DN241768_c0_seq1.p1, Ssid_DN263775_c0_seq2.p3"
OG0001239,"Ssid_DN243146_c0_seq1.p1, Ssid_DN248642_c0_seq1.p1, Ssid_DN248642_c0_seq1.p2"
OG0001240,Ssid_DN324171_c0_seq1.p1
OG0001241,Ssid_DN235445_c0_seq2.p1
OG0001242,Ssid_DN256415_c0_seq1.p1
OG0001243,"Ssid_DN250177_c0_seq1.p1, Ssid_DN262445_c0_seq2.p1"
OG0001244,
OG0001245,"Ssid_DN236005_c0_seq1.p1, Ssid_DN248097_c0_seq1.p2, Ssid_DN258576_c0_seq49.p2, Ssid_DN260578_c1_seq9.p1, Ssid_DN262106_c0_seq1.p1, Ssid_DN263414_c1_seq6.p1"
OG0001246,Ssid_DN251489_c0_seq4.p1
OG0001247,
OG0001248,
OG0001249,
OG0001250,
OG0001251,"Ssid_DN259665_c0_seq15.p1, Ssid_DN259665_c0_seq15.p2"
OG0001252,Ssid_DN256648_c0_seq1.p1
OG0001253,"Ssid_DN221344_c0_seq1.p1, Ssid_DN261574_c0_seq1.p1"
OG0001254,Ssid_DN245667_c0_seq2.p1
OG0001255,Ssid_DN8772_c0_seq1.p1
OG0001256,
OG0001257,
OG0001258,
OG0001259,
OG0001260,
OG0001261,"Ssid_DN226796_c0_seq2.p1, Ssid_DN252662_c0_seq1.p1, Ssid_DN253732_c0_seq24.p1"
OG0001262,"Ssid_DN256689_c0_seq4.p1, Ssid_DN261823_c0_seq2.p2"
OG0001263,Ssid_DN241301_c0_seq1.p2
OG0001264,"Ssid_DN225802_c0_seq1.p1, Ssid_DN253527_c0_seq2.p1"
OG0001265,
OG0001266,
OG0001267,"Ssid_DN203526_c0_seq1.p1, Ssid_DN244587_c0_seq1.p1, Ssid_DN244587_c0_seq1.p3"
OG0001268,Ssid_DN256968_c0_seq4.p1
OG0001269,Ssid_DN222693_c0_seq1.p1
OG0001270,Ssid_DN171888_c0_seq1.p1
OG0001271,"Ssid_DN214332_c0_seq1.p1, Ssid_DN254059_c0_seq2.p1, Ssid_DN259918_c1_seq13.p1"
OG0001272,"Ssid_DN242724_c0_seq1.p1, Ssid_DN243966_c0_seq1.p1, Ssid_DN252778_c0_seq2.p1"
OG0001273,"Ssid_DN201093_c0_seq1.p1, Ssid_DN246958_c0_seq3.p1, Ssid_DN261392_c0_seq1.p1, Ssid_DN262359_c0_seq1.p1"
OG0001274,
OG0001275,
OG0001276,
OG0001277,
OG0001278,Ssid_DN262084_c1_seq3.p1
OG0001279,"Ssid_DN211248_c0_seq1.p1, Ssid_DN256338_c0_seq2.p1"
OG0001280,Ssid_DN257712_c0_seq2.p1
OG0001281,Ssid_DN243919_c0_seq2.p1
OG0001282,
OG0001283,
OG0001284,Ssid_DN257671_c0_seq1.p1
OG0001285,
OG0001286,"Ssid_DN178544_c0_seq1.p1, Ssid_DN236232_c0_seq1.p2, Ssid_DN255060_c0_seq3.p1, Ssid_DN256605_c0_seq4.p5, Ssid_DN261684_c0_seq2.p1"
OG0001287,Ssid_DN215497_c0_seq1.p1
OG0001288,Ssid_DN170117_c0_seq1.p1
OG0001289,"Ssid_DN192162_c0_seq2.p1, Ssid_DN232117_c0_seq1.p1, Ssid_DN249631_c0_seq2.p1"
OG0001290,"Ssid_DN166910_c0_seq1.p1, Ssid_DN193074_c0_seq1.p1"
OG0001291,
OG0001292,
OG0001293,"Ssid_DN244105_c0_seq1.p1, Ssid_DN263191_c0_seq5.p1"
OG0001294,Ssid_DN193216_c0_seq1.p1
OG0001295,"Ssid_DN248264_c0_seq1.p1, Ssid_DN263700_c0_seq1.p1"
OG0001296,Ssid_DN199287_c0_seq1.p1
OG0001297,Ssid_DN260178_c1_seq1.p2
OG0001298,
OG0001299,
OG0001300,Ssid_DN262444_c1_seq1.p2
OG0001301,Ssid_DN249417_c0_seq1.p1
OG0001302,Ssid_DN258555_c0_seq9.p1
OG0001303,Ssid_DN251636_c0_seq2.p1
OG0001304,Ssid_DN416896_c0_seq1.p1
OG0001305,
