OG,Cnat_Orthofinder_input
OG0001145,TRINITY_DN305919_c4_g1_i6.p1
OG0001146,"TRINITY_DN306871_c0_g1_i3.p1, TRINITY_DN306871_c0_g2_i2.p1"
OG0001147,"TRINITY_DN307438_c0_g2_i9.p1, TRINITY_DN317428_c2_g1_i3.p3"
OG0001148,TRINITY_DN307786_c1_g1_i3.p1
OG0001149,TRINITY_DN308909_c1_g1_i5.p1
OG0001150,"TRINITY_DN309238_c0_g1_i6.p1, TRINITY_DN309238_c0_g1_i6.p2"
OG0001151,"TRINITY_DN309928_c0_g5_i2.p1, TRINITY_DN312224_c2_g2_i8.p2"
OG0001152,TRINITY_DN310484_c3_g2_i2.p1
OG0001153,"TRINITY_DN310788_c0_g2_i5.p1, TRINITY_DN85492_c0_g1_i1.p1"
OG0001154,TRINITY_DN313131_c1_g1_i7.p1
OG0001155,"TRINITY_DN313351_c4_g2_i8.p1, TRINITY_DN487813_c0_g1_i1.p1"
OG0001156,"TRINITY_DN313406_c4_g1_i5.p1, TRINITY_DN313822_c2_g1_i6.p1"
OG0001157,TRINITY_DN314260_c3_g1_i7.p1
OG0001158,TRINITY_DN317696_c1_g1_i1.p1
OG0001159,
OG0001160,
OG0001161,
OG0001162,
OG0001163,
OG0001164,
OG0001165,
OG0001166,"TRINITY_DN104836_c0_g1_i1.p1, TRINITY_DN256149_c0_g2_i2.p1"
OG0001167,"TRINITY_DN110700_c0_g1_i1.p1, TRINITY_DN185431_c0_g1_i1.p1, TRINITY_DN664054_c0_g1_i1.p1"
OG0001168,TRINITY_DN113408_c0_g1_i1.p1
OG0001169,"TRINITY_DN113866_c0_g1_i1.p1, TRINITY_DN260739_c0_g1_i2.p1, TRINITY_DN260739_c0_g2_i1.p1, TRINITY_DN260739_c0_g4_i6.p1, TRINITY_DN260739_c0_g6_i1.p1"
OG0001170,"TRINITY_DN114472_c0_g1_i1.p1, TRINITY_DN19809_c0_g1_i1.p1, TRINITY_DN258225_c0_g1_i6.p1, TRINITY_DN344717_c0_g1_i1.p1"
OG0001171,"TRINITY_DN116127_c0_g1_i1.p1, TRINITY_DN235145_c0_g1_i1.p1, TRINITY_DN272036_c0_g2_i2.p1, TRINITY_DN282581_c0_g2_i2.p1"
OG0001172,"TRINITY_DN117565_c0_g1_i1.p1, TRINITY_DN255875_c0_g2_i1.p1, TRINITY_DN287815_c0_g2_i4.p1"
OG0001173,"TRINITY_DN124063_c0_g1_i1.p1, TRINITY_DN276929_c2_g3_i3.p1, TRINITY_DN297357_c1_g2_i3.p1, TRINITY_DN302961_c2_g2_i1.p1, TRINITY_DN303166_c0_g1_i1.p1"
OG0001174,"TRINITY_DN124698_c0_g1_i1.p1, TRINITY_DN263569_c0_g2_i1.p1, TRINITY_DN289546_c0_g2_i7.p1, TRINITY_DN304306_c4_g1_i5.p3"
OG0001175,"TRINITY_DN128978_c0_g1_i1.p1, TRINITY_DN181325_c0_g1_i1.p1, TRINITY_DN223397_c0_g2_i1.p1, TRINITY_DN223397_c0_g4_i2.p1"
OG0001176,"TRINITY_DN138833_c1_g1_i1.p1, TRINITY_DN241078_c0_g1_i1.p1, TRINITY_DN264547_c0_g2_i1.p1, TRINITY_DN264547_c0_g3_i1.p1"
OG0001177,"TRINITY_DN142653_c0_g1_i1.p1, TRINITY_DN280597_c0_g4_i2.p1, TRINITY_DN288307_c0_g4_i1.p1"
OG0001178,"TRINITY_DN148240_c0_g1_i1.p1, TRINITY_DN229792_c1_g1_i1.p1, TRINITY_DN312291_c3_g3_i2.p1, TRINITY_DN315488_c3_g1_i2.p1"
OG0001179,TRINITY_DN149799_c0_g1_i1.p2
OG0001180,"TRINITY_DN150542_c0_g1_i1.p1, TRINITY_DN290774_c5_g1_i1.p1"
OG0001181,"TRINITY_DN155016_c0_g1_i1.p1, TRINITY_DN307179_c1_g2_i8.p1, TRINITY_DN307179_c1_g2_i8.p2"
OG0001182,"TRINITY_DN156062_c0_g1_i1.p1, TRINITY_DN179537_c0_g1_i2.p1"
OG0001183,"TRINITY_DN156660_c0_g1_i1.p1, TRINITY_DN302248_c1_g1_i1.p1, TRINITY_DN302248_c1_g6_i1.p1, TRINITY_DN315197_c0_g1_i4.p1"
OG0001184,"TRINITY_DN163730_c0_g1_i2.p1, TRINITY_DN203749_c0_g1_i1.p1"
OG0001185,"TRINITY_DN167810_c0_g1_i1.p3, TRINITY_DN304325_c0_g1_i7.p1, TRINITY_DN306134_c3_g1_i11.p1"
OG0001186,"TRINITY_DN170675_c1_g1_i1.p1, TRINITY_DN315175_c0_g1_i1.p1"
OG0001187,TRINITY_DN175404_c1_g1_i1.p2
OG0001188,"TRINITY_DN177812_c0_g1_i1.p1, TRINITY_DN86592_c0_g1_i1.p1"
OG0001189,"TRINITY_DN185502_c1_g1_i1.p1, TRINITY_DN255493_c0_g1_i2.p1"
OG0001190,"TRINITY_DN186093_c0_g1_i2.p1, TRINITY_DN186093_c1_g1_i1.p1, TRINITY_DN186093_c1_g2_i1.p1, TRINITY_DN270758_c0_g3_i3.p1, TRINITY_DN428284_c0_g1_i1.p1"
OG0001191,"TRINITY_DN187007_c0_g1_i1.p1, TRINITY_DN194426_c0_g1_i1.p1, TRINITY_DN206773_c0_g2_i1.p1, TRINITY_DN278379_c0_g1_i1.p1, TRINITY_DN278379_c0_g2_i4.p1, TRINITY_DN278379_c0_g3_i2.p1, TRINITY_DN278379_c0_g5_i1.p1, TRINITY_DN279115_c0_g2_i7.p1, TRINITY_DN287704_c1_g1_i3.p1, TRINITY_DN290240_c2_g2_i7.p1, TRINITY_DN291225_c0_g2_i3.p1, TRINITY_DN303730_c2_g1_i5.p1"
OG0001192,"TRINITY_DN187833_c0_g1_i1.p1, TRINITY_DN296234_c0_g1_i2.p1, TRINITY_DN318532_c28_g1_i1.p1"
OG0001193,"TRINITY_DN188065_c0_g1_i1.p1, TRINITY_DN318382_c2_g1_i5.p1"
OG0001194,"TRINITY_DN188317_c0_g1_i1.p1, TRINITY_DN289139_c1_g3_i3.p1, TRINITY_DN579470_c0_g1_i1.p1, TRINITY_DN584803_c0_g1_i1.p1"
OG0001195,"TRINITY_DN190141_c0_g1_i1.p1, TRINITY_DN256883_c0_g3_i1.p1, TRINITY_DN264973_c0_g1_i9.p1"
OG0001196,"TRINITY_DN193512_c0_g1_i1.p1, TRINITY_DN290712_c3_g3_i9.p1, TRINITY_DN317769_c4_g2_i6.p1"
OG0001197,TRINITY_DN199387_c0_g1_i1.p1
OG0001198,"TRINITY_DN200747_c0_g1_i1.p1, TRINITY_DN295727_c0_g1_i1.p1"
OG0001199,"TRINITY_DN201333_c0_g1_i1.p1, TRINITY_DN208312_c0_g1_i1.p1, TRINITY_DN386936_c0_g1_i1.p1, TRINITY_DN446183_c0_g1_i1.p2, TRINITY_DN498276_c0_g1_i1.p1"
OG0001200,"TRINITY_DN201565_c1_g1_i1.p1, TRINITY_DN203444_c1_g1_i1.p1, TRINITY_DN293156_c1_g4_i1.p1, TRINITY_DN318628_c6_g3_i4.p1, TRINITY_DN318628_c9_g1_i7.p1"
OG0001201,"TRINITY_DN203233_c1_g1_i1.p1, TRINITY_DN207888_c1_g1_i1.p1, TRINITY_DN225554_c0_g1_i1.p1"
OG0001202,"TRINITY_DN203854_c0_g2_i1.p1, TRINITY_DN237403_c0_g1_i2.p1, TRINITY_DN238489_c0_g2_i2.p1, TRINITY_DN262011_c1_g2_i5.p1"
OG0001203,"TRINITY_DN211530_c0_g1_i1.p1, TRINITY_DN315962_c0_g1_i1.p1"
OG0001204,"TRINITY_DN212313_c0_g1_i2.p1, TRINITY_DN640920_c0_g1_i1.p1"
OG0001205,"TRINITY_DN216642_c1_g1_i1.p1, TRINITY_DN260578_c0_g1_i2.p1, TRINITY_DN269601_c0_g1_i3.p1, TRINITY_DN316256_c3_g2_i6.p1, TRINITY_DN316776_c4_g1_i1.p1"
OG0001206,"TRINITY_DN216797_c0_g1_i2.p1, TRINITY_DN225654_c0_g1_i2.p1, TRINITY_DN235093_c0_g1_i3.p1, TRINITY_DN239645_c0_g1_i1.p1, TRINITY_DN240648_c0_g1_i1.p1, TRINITY_DN241390_c0_g2_i2.p1, TRINITY_DN241390_c0_g5_i2.p1, TRINITY_DN261152_c0_g3_i1.p1"
OG0001207,"TRINITY_DN217021_c0_g1_i2.p1, TRINITY_DN277745_c0_g6_i2.p1, TRINITY_DN284672_c2_g1_i2.p1, TRINITY_DN291705_c1_g1_i1.p1, TRINITY_DN59813_c0_g1_i1.p1"
OG0001208,"TRINITY_DN217535_c0_g1_i2.p1, TRINITY_DN245288_c1_g1_i1.p1"
OG0001209,"TRINITY_DN220115_c0_g1_i2.p1, TRINITY_DN550091_c0_g1_i1.p1, TRINITY_DN588128_c0_g1_i1.p2"
OG0001210,"TRINITY_DN220304_c0_g1_i1.p1, TRINITY_DN303185_c2_g1_i9.p1, TRINITY_DN318420_c3_g1_i1.p1"
OG0001211,TRINITY_DN220884_c0_g1_i1.p1
OG0001212,"TRINITY_DN224022_c0_g1_i1.p1, TRINITY_DN224022_c0_g1_i1.p2, TRINITY_DN265442_c5_g2_i5.p1, TRINITY_DN309298_c1_g1_i1.p1"
OG0001213,"TRINITY_DN226222_c0_g1_i2.p1, TRINITY_DN268390_c0_g2_i4.p1, TRINITY_DN301536_c2_g2_i2.p1"
OG0001214,"TRINITY_DN227650_c0_g1_i1.p1, TRINITY_DN295736_c0_g1_i1.p1, TRINITY_DN297361_c0_g1_i7.p1, TRINITY_DN300903_c0_g3_i1.p1, TRINITY_DN312646_c0_g3_i1.p1, TRINITY_DN312646_c1_g2_i1.p1, TRINITY_DN317403_c3_g1_i6.p1"
OG0001215,TRINITY_DN230231_c1_g1_i1.p1
OG0001216,"TRINITY_DN230617_c0_g1_i1.p1, TRINITY_DN230617_c0_g1_i1.p2, TRINITY_DN230617_c0_g1_i1.p3, TRINITY_DN244823_c0_g1_i6.p1, TRINITY_DN257322_c1_g3_i3.p2, TRINITY_DN260336_c0_g1_i3.p2, TRINITY_DN260336_c0_g3_i5.p1, TRINITY_DN264564_c0_g3_i3.p1, TRINITY_DN267742_c1_g2_i3.p1"
OG0001217,"TRINITY_DN231826_c0_g1_i1.p1, TRINITY_DN261411_c0_g1_i3.p1, TRINITY_DN288506_c0_g1_i2.p1"
OG0001218,"TRINITY_DN235138_c1_g1_i1.p1, TRINITY_DN274743_c0_g2_i2.p1, TRINITY_DN274743_c0_g7_i1.p1, TRINITY_DN282850_c0_g3_i7.p4"
OG0001219,TRINITY_DN239520_c0_g1_i3.p1
OG0001220,"TRINITY_DN241101_c1_g1_i2.p1, TRINITY_DN243739_c0_g1_i3.p1, TRINITY_DN304188_c0_g3_i8.p1, TRINITY_DN310876_c4_g1_i16.p1, TRINITY_DN310907_c1_g1_i8.p1, TRINITY_DN312505_c2_g2_i12.p1"
OG0001221,"TRINITY_DN244881_c0_g1_i1.p1, TRINITY_DN244881_c1_g1_i1.p1, TRINITY_DN280966_c0_g1_i6.p2, TRINITY_DN291771_c1_g2_i7.p2"
OG0001222,TRINITY_DN246017_c0_g1_i2.p1
OG0001223,"TRINITY_DN248123_c2_g1_i4.p1, TRINITY_DN286613_c0_g1_i4.p1, TRINITY_DN317026_c0_g4_i4.p1"
OG0001224,"TRINITY_DN248877_c0_g1_i2.p1, TRINITY_DN275985_c0_g1_i11.p1, TRINITY_DN275985_c0_g7_i1.p1, TRINITY_DN279401_c0_g3_i1.p1"
OG0001225,"TRINITY_DN249078_c0_g1_i5.p1, TRINITY_DN254731_c0_g1_i5.p1, TRINITY_DN259166_c1_g1_i1.p1, TRINITY_DN259166_c2_g1_i5.p1, TRINITY_DN275108_c1_g1_i3.p1, TRINITY_DN277255_c4_g3_i2.p1, TRINITY_DN287375_c0_g2_i1.p1, TRINITY_DN300167_c0_g1_i3.p1, TRINITY_DN303760_c0_g1_i4.p1, TRINITY_DN303760_c0_g1_i4.p2, TRINITY_DN313823_c1_g1_i1.p1"
OG0001226,"TRINITY_DN251094_c1_g3_i2.p1, TRINITY_DN279046_c0_g2_i5.p1"
OG0001227,"TRINITY_DN251303_c1_g4_i1.p1, TRINITY_DN318627_c20_g1_i1.p1"
OG0001228,TRINITY_DN251640_c0_g2_i1.p1
OG0001229,"TRINITY_DN252132_c0_g2_i1.p1, TRINITY_DN659703_c0_g1_i1.p1"
OG0001230,"TRINITY_DN252415_c0_g2_i2.p1, TRINITY_DN311583_c2_g1_i13.p1"
OG0001231,"TRINITY_DN252975_c1_g2_i2.p1, TRINITY_DN262103_c0_g2_i24.p1"
OG0001232,"TRINITY_DN253115_c0_g2_i7.p2, TRINITY_DN299599_c1_g3_i1.p1"
OG0001233,"TRINITY_DN253653_c0_g1_i1.p1, TRINITY_DN253653_c0_g2_i1.p1, TRINITY_DN307998_c2_g1_i3.p1, TRINITY_DN307998_c2_g3_i5.p1, TRINITY_DN310468_c1_g2_i2.p1"
OG0001234,"TRINITY_DN253863_c0_g2_i1.p1, TRINITY_DN253863_c0_g3_i3.p1"
OG0001235,"TRINITY_DN254031_c0_g1_i1.p1, TRINITY_DN267990_c0_g1_i2.p1, TRINITY_DN267990_c0_g2_i1.p1, TRINITY_DN267990_c0_g3_i3.p1, TRINITY_DN271539_c0_g2_i1.p2, TRINITY_DN271539_c0_g5_i1.p1, TRINITY_DN271539_c0_g6_i1.p1"
OG0001236,"TRINITY_DN254473_c0_g1_i1.p2, TRINITY_DN306303_c2_g1_i12.p1, TRINITY_DN309274_c0_g1_i1.p1, TRINITY_DN64046_c0_g1_i1.p1, TRINITY_DN658936_c0_g1_i1.p1"
OG0001237,TRINITY_DN255224_c1_g1_i4.p1
OG0001238,"TRINITY_DN256640_c0_g1_i4.p1, TRINITY_DN261692_c0_g6_i1.p1, TRINITY_DN312400_c3_g2_i10.p1"
OG0001239,"TRINITY_DN260811_c0_g2_i7.p1, TRINITY_DN278485_c1_g9_i3.p1, TRINITY_DN318008_c3_g1_i14.p1"
OG0001240,"TRINITY_DN262133_c1_g1_i13.p1, TRINITY_DN283908_c0_g1_i2.p2"
OG0001241,"TRINITY_DN262189_c0_g1_i2.p1, TRINITY_DN281012_c1_g4_i1.p1, TRINITY_DN312977_c1_g1_i4.p1, TRINITY_DN487232_c0_g1_i1.p1, TRINITY_DN590573_c0_g1_i1.p1"
OG0001242,"TRINITY_DN262325_c0_g4_i1.p1, TRINITY_DN275144_c0_g1_i3.p1"
OG0001243,TRINITY_DN262979_c0_g1_i8.p1
OG0001244,"TRINITY_DN263998_c0_g2_i2.p1, TRINITY_DN263998_c0_g3_i1.p1, TRINITY_DN263998_c1_g3_i1.p1, TRINITY_DN38780_c0_g1_i1.p1, TRINITY_DN39387_c0_g1_i1.p1"
OG0001245,"TRINITY_DN264021_c2_g2_i1.p1, TRINITY_DN318658_c11_g1_i3.p1"
OG0001246,"TRINITY_DN264076_c6_g3_i4.p1, TRINITY_DN284779_c0_g1_i5.p3, TRINITY_DN296240_c1_g4_i1.p1, TRINITY_DN301514_c3_g6_i1.p1, TRINITY_DN317039_c3_g1_i1.p1"
OG0001247,"TRINITY_DN264157_c0_g3_i1.p1, TRINITY_DN269533_c2_g1_i1.p1"
OG0001248,TRINITY_DN264931_c0_g3_i8.p2
OG0001249,"TRINITY_DN264968_c3_g2_i2.p1, TRINITY_DN271118_c1_g3_i1.p2, TRINITY_DN273869_c2_g1_i12.p1, TRINITY_DN298609_c5_g2_i7.p1, TRINITY_DN303453_c2_g1_i3.p1"
OG0001250,"TRINITY_DN265514_c1_g1_i1.p1, TRINITY_DN279750_c1_g2_i8.p1, TRINITY_DN312043_c0_g1_i15.p1"
OG0001251,"TRINITY_DN265778_c2_g2_i1.p1, TRINITY_DN313340_c3_g1_i4.p1, TRINITY_DN313340_c3_g2_i2.p1, TRINITY_DN313796_c3_g1_i5.p1"
OG0001252,"TRINITY_DN266575_c0_g2_i2.p1, TRINITY_DN266575_c0_g4_i1.p1, TRINITY_DN279242_c0_g2_i7.p1, TRINITY_DN317721_c4_g1_i3.p1"
OG0001253,"TRINITY_DN267360_c0_g1_i8.p1, TRINITY_DN291176_c0_g2_i9.p1, TRINITY_DN312524_c1_g1_i1.p1"
OG0001254,"TRINITY_DN268549_c1_g3_i2.p1, TRINITY_DN270417_c0_g1_i3.p1"
OG0001255,"TRINITY_DN269063_c0_g2_i5.p1, TRINITY_DN281773_c1_g6_i6.p3, TRINITY_DN287783_c3_g1_i1.p1"
OG0001256,"TRINITY_DN270850_c4_g1_i1.p1, TRINITY_DN298728_c0_g1_i7.p1"
OG0001257,TRINITY_DN270940_c0_g1_i1.p1
OG0001258,TRINITY_DN271605_c0_g5_i4.p1
OG0001259,"TRINITY_DN272057_c1_g1_i3.p1, TRINITY_DN293048_c2_g2_i1.p1"
OG0001260,"TRINITY_DN272282_c1_g5_i1.p2, TRINITY_DN388012_c0_g1_i1.p1, TRINITY_DN659487_c0_g1_i1.p1"
OG0001261,TRINITY_DN272416_c0_g2_i1.p1
OG0001262,"TRINITY_DN272729_c1_g1_i7.p1, TRINITY_DN298743_c2_g2_i2.p1"
OG0001263,"TRINITY_DN273112_c3_g1_i6.p1, TRINITY_DN273112_c3_g4_i4.p1, TRINITY_DN644964_c0_g1_i1.p1"
OG0001264,"TRINITY_DN273245_c0_g1_i3.p1, TRINITY_DN297018_c0_g1_i7.p1, TRINITY_DN306975_c0_g2_i8.p1"
OG0001265,"TRINITY_DN273482_c0_g4_i1.p1, TRINITY_DN294635_c0_g3_i4.p1"
OG0001266,TRINITY_DN273814_c0_g1_i2.p1
OG0001267,"TRINITY_DN273922_c2_g2_i3.p1, TRINITY_DN306472_c0_g4_i1.p1, TRINITY_DN317808_c5_g1_i8.p2"
OG0001268,"TRINITY_DN274265_c1_g1_i1.p1, TRINITY_DN301251_c1_g1_i2.p1, TRINITY_DN301251_c1_g5_i3.p1, TRINITY_DN308115_c0_g2_i3.p1"
OG0001269,"TRINITY_DN274484_c1_g1_i4.p1, TRINITY_DN274484_c1_g3_i3.p1, TRINITY_DN290953_c0_g2_i3.p1, TRINITY_DN5051_c0_g1_i1.p1"
OG0001270,TRINITY_DN274894_c1_g6_i2.p2
OG0001271,"TRINITY_DN274977_c0_g2_i1.p1, TRINITY_DN315277_c3_g2_i2.p1"
OG0001272,TRINITY_DN275054_c1_g4_i1.p1
OG0001273,"TRINITY_DN275972_c1_g3_i1.p1, TRINITY_DN308043_c0_g2_i4.p1"
OG0001274,"TRINITY_DN277146_c0_g3_i7.p1, TRINITY_DN278852_c0_g1_i4.p1, TRINITY_DN284373_c0_g2_i8.p1, TRINITY_DN310939_c1_g1_i6.p1"
OG0001275,"TRINITY_DN277562_c3_g2_i9.p1, TRINITY_DN278081_c0_g1_i3.p1"
OG0001276,"TRINITY_DN278351_c1_g1_i5.p1, TRINITY_DN285841_c1_g1_i7.p1, TRINITY_DN285841_c1_g2_i2.p1, TRINITY_DN295354_c2_g1_i3.p1, TRINITY_DN317822_c11_g3_i3.p1, TRINITY_DN318309_c12_g1_i2.p1, TRINITY_DN5283_c0_g1_i1.p1"
OG0001277,"TRINITY_DN278495_c3_g3_i1.p1, TRINITY_DN280476_c0_g1_i4.p1"
OG0001278,"TRINITY_DN279045_c1_g1_i1.p1, TRINITY_DN279045_c1_g5_i1.p1, TRINITY_DN279045_c1_g8_i1.p1, TRINITY_DN6583_c0_g1_i1.p1"
OG0001279,"TRINITY_DN280131_c0_g1_i8.p1, TRINITY_DN280131_c0_g6_i1.p1, TRINITY_DN291093_c0_g1_i1.p1, TRINITY_DN291093_c0_g3_i3.p1"
OG0001280,"TRINITY_DN280308_c2_g1_i7.p1, TRINITY_DN283612_c0_g1_i1.p1, TRINITY_DN289778_c1_g2_i1.p1"
OG0001281,"TRINITY_DN280415_c1_g1_i1.p1, TRINITY_DN310648_c2_g2_i4.p1, TRINITY_DN436370_c0_g1_i1.p1"
OG0001282,"TRINITY_DN280790_c1_g1_i1.p1, TRINITY_DN280790_c1_g2_i3.p2, TRINITY_DN288122_c1_g1_i1.p1, TRINITY_DN288122_c1_g3_i4.p2, TRINITY_DN288122_c1_g3_i4.p5, TRINITY_DN653477_c0_g1_i1.p1"
OG0001283,"TRINITY_DN281175_c0_g7_i2.p1, TRINITY_DN294619_c0_g1_i5.p1, TRINITY_DN294619_c0_g2_i3.p1"
OG0001284,"TRINITY_DN281222_c0_g1_i3.p1, TRINITY_DN281222_c0_g1_i3.p2, TRINITY_DN294535_c0_g1_i24.p1, TRINITY_DN303035_c0_g2_i7.p2"
OG0001285,TRINITY_DN281246_c0_g1_i1.p1
OG0001286,"TRINITY_DN281376_c0_g1_i1.p1, TRINITY_DN304231_c0_g3_i4.p1"
OG0001287,"TRINITY_DN281766_c0_g1_i7.p1, TRINITY_DN46711_c0_g1_i1.p1"
OG0001288,"TRINITY_DN281790_c4_g3_i1.p1, TRINITY_DN283401_c0_g2_i6.p1"
OG0001289,"TRINITY_DN283396_c2_g2_i3.p1, TRINITY_DN300217_c1_g1_i5.p1, TRINITY_DN300546_c2_g1_i1.p1"
OG0001290,"TRINITY_DN284038_c0_g1_i1.p1, TRINITY_DN605012_c0_g1_i1.p2"
OG0001291,TRINITY_DN284234_c0_g3_i2.p1
OG0001292,"TRINITY_DN284434_c0_g4_i6.p1, TRINITY_DN284434_c0_g8_i1.p1, TRINITY_DN290180_c1_g5_i2.p1, TRINITY_DN296559_c0_g1_i2.p1, TRINITY_DN296559_c1_g5_i2.p1, TRINITY_DN296559_c1_g6_i1.p1, TRINITY_DN296559_c1_g9_i1.p1"
OG0001293,"TRINITY_DN284577_c1_g1_i1.p1, TRINITY_DN291667_c0_g2_i5.p1, TRINITY_DN302416_c1_g1_i1.p1, TRINITY_DN305793_c0_g2_i2.p1, TRINITY_DN315163_c7_g3_i1.p1, TRINITY_DN459114_c0_g1_i1.p1"
OG0001294,"TRINITY_DN285041_c1_g2_i10.p1, TRINITY_DN293434_c1_g1_i12.p1"
OG0001295,"TRINITY_DN285197_c2_g1_i2.p2, TRINITY_DN299902_c0_g1_i5.p1"
OG0001296,"TRINITY_DN285368_c0_g1_i3.p1, TRINITY_DN308318_c4_g2_i9.p1, TRINITY_DN309188_c5_g1_i3.p1, TRINITY_DN388488_c0_g1_i1.p1"
OG0001297,"TRINITY_DN285424_c0_g1_i16.p1, TRINITY_DN287217_c3_g3_i8.p1, TRINITY_DN288650_c2_g2_i4.p1, TRINITY_DN297008_c2_g2_i9.p1"
OG0001298,TRINITY_DN285645_c0_g1_i1.p1
OG0001299,"TRINITY_DN286356_c1_g1_i1.p1, TRINITY_DN286356_c3_g2_i8.p1, TRINITY_DN286356_c3_g5_i1.p1, TRINITY_DN292164_c1_g1_i9.p1, TRINITY_DN308313_c0_g3_i7.p1"
OG0001300,"TRINITY_DN286529_c0_g3_i1.p1, TRINITY_DN297857_c2_g1_i8.p1"
OG0001301,"TRINITY_DN286581_c1_g3_i8.p1, TRINITY_DN87452_c0_g1_i1.p1"
OG0001302,"TRINITY_DN286829_c0_g1_i4.p1, TRINITY_DN297750_c0_g3_i1.p1"
OG0001303,"TRINITY_DN288260_c2_g1_i2.p1, TRINITY_DN314587_c1_g6_i2.p1"
OG0001304,"TRINITY_DN289072_c0_g2_i5.p1, TRINITY_DN289072_c0_g3_i1.p1, TRINITY_DN289072_c0_g6_i1.p1"
OG0001305,"TRINITY_DN289507_c0_g2_i11.p1, TRINITY_DN303182_c0_g1_i3.p1, TRINITY_DN316591_c4_g2_i5.p1"
OG0001306,"TRINITY_DN290225_c0_g1_i1.p1, TRINITY_DN290225_c1_g2_i4.p1, TRINITY_DN297841_c0_g1_i1.p1"
OG0001307,"TRINITY_DN290832_c0_g1_i3.p1, TRINITY_DN300239_c1_g1_i5.p1, TRINITY_DN302198_c1_g2_i1.p1"
OG0001308,TRINITY_DN290973_c4_g1_i5.p1
OG0001309,TRINITY_DN291692_c1_g5_i9.p1
OG0001310,"TRINITY_DN292835_c0_g2_i1.p1, TRINITY_DN293514_c1_g1_i1.p1"
OG0001311,"TRINITY_DN293769_c2_g3_i1.p1, TRINITY_DN297894_c0_g2_i4.p1"
OG0001312,"TRINITY_DN294217_c7_g1_i7.p1, TRINITY_DN298615_c2_g1_i3.p1, TRINITY_DN591699_c0_g1_i1.p1"
OG0001313,"TRINITY_DN294452_c1_g2_i1.p1, TRINITY_DN297229_c1_g2_i6.p1"
OG0001314,"TRINITY_DN295740_c0_g4_i5.p1, TRINITY_DN306495_c0_g2_i1.p1"
OG0001315,"TRINITY_DN296011_c0_g3_i3.p1, TRINITY_DN300703_c1_g1_i9.p1"
OG0001316,"TRINITY_DN296098_c3_g3_i1.p1, TRINITY_DN299994_c0_g2_i5.p1"
OG0001317,"TRINITY_DN296125_c2_g1_i2.p1, TRINITY_DN305393_c0_g2_i1.p1, TRINITY_DN306721_c2_g1_i7.p1"
OG0001318,"TRINITY_DN296456_c0_g2_i3.p1, TRINITY_DN300426_c0_g1_i3.p1, TRINITY_DN301762_c0_g1_i4.p1, TRINITY_DN304428_c0_g1_i2.p1, TRINITY_DN307687_c2_g4_i3.p1, TRINITY_DN315281_c4_g1_i6.p1"
OG0001319,"TRINITY_DN297096_c0_g2_i1.p1, TRINITY_DN306869_c1_g2_i14.p3"
OG0001320,"TRINITY_DN299529_c1_g1_i2.p1, TRINITY_DN434672_c0_g1_i1.p2"
OG0001321,TRINITY_DN299770_c2_g1_i7.p1
OG0001322,TRINITY_DN300023_c0_g1_i3.p1
OG0001323,TRINITY_DN301111_c0_g2_i6.p1
OG0001324,"TRINITY_DN301144_c0_g2_i2.p1, TRINITY_DN301735_c1_g1_i3.p1"
OG0001325,TRINITY_DN301197_c0_g1_i6.p1
OG0001326,TRINITY_DN302354_c1_g4_i1.p1
OG0001327,"TRINITY_DN302700_c2_g4_i1.p1, TRINITY_DN303692_c2_g2_i4.p1, TRINITY_DN305758_c1_g1_i7.p1, TRINITY_DN305758_c1_g8_i1.p1"
OG0001328,"TRINITY_DN302908_c0_g2_i3.p1, TRINITY_DN314506_c4_g1_i9.p1, TRINITY_DN314506_c4_g1_i9.p2, TRINITY_DN315417_c5_g2_i1.p1"
OG0001329,"TRINITY_DN302983_c1_g2_i1.p1, TRINITY_DN304538_c3_g2_i5.p2, TRINITY_DN586475_c0_g1_i1.p1"
OG0001330,TRINITY_DN303551_c3_g1_i3.p1
OG0001331,"TRINITY_DN303658_c0_g1_i16.p1, TRINITY_DN313306_c2_g1_i8.p1"
OG0001332,"TRINITY_DN305041_c0_g2_i7.p2, TRINITY_DN306840_c0_g1_i15.p1, TRINITY_DN318090_c0_g1_i2.p1, TRINITY_DN318090_c1_g2_i7.p1"
OG0001333,"TRINITY_DN305114_c2_g3_i8.p1, TRINITY_DN308451_c0_g1_i5.p1, TRINITY_DN308451_c0_g1_i5.p3"
OG0001334,"TRINITY_DN305674_c0_g1_i14.p1, TRINITY_DN309681_c2_g1_i5.p1"
OG0001335,TRINITY_DN306525_c0_g1_i5.p1
OG0001336,"TRINITY_DN306836_c0_g1_i1.p1, TRINITY_DN308253_c1_g1_i4.p1"
OG0001337,"TRINITY_DN307314_c0_g3_i3.p1, TRINITY_DN307652_c0_g4_i1.p1"
OG0001338,"TRINITY_DN307629_c1_g4_i3.p1, TRINITY_DN351680_c0_g1_i1.p1"
OG0001339,"TRINITY_DN307809_c0_g1_i3.p1, TRINITY_DN308690_c0_g1_i1.p1, TRINITY_DN308690_c0_g5_i2.p1, TRINITY_DN515180_c0_g1_i1.p1"
OG0001340,"TRINITY_DN307949_c0_g1_i5.p1, TRINITY_DN308213_c1_g2_i15.p1"
